theta.1,theta.2,mu.1,mu.2,sigma.1,sigma.2,lp__
0.13978472857150787,0.8602152714284921,0.0824440923813829,0.7672401027207527,0.20795819777743982,0.12323058382542887,1097.481255402394
0.1416844256143097,0.8583155743856903,0.10523791671799845,0.7724391634188541,0.21477967668636463,0.12606929786840435,1097.3665752987863
0.14409986644345982,0.8559001335565402,0.08830034440663671,0.7675242778442216,0.222985952762815,0.124989243156075,1098.6078841747171
0.1417734867924537,0.8582265132075463,0.08073780509402556,0.7676797998457972,0.20686393370014525,0.12513718859374998,1098.666897420312
0.14538289030928636,0.8546171096907136,0.09716571005973927,0.7697424945874903,0.22528206916592164,0.12384744341433641,1099.258982475752
0.14029770814878276,0.8597022918512173,0.1114019161316876,0.7694210394076405,0.21239817440699396,0.12621629825848468,1096.8855945491866
0.14032810515337607,0.859671894846624,0.08701363669967334,0.7678812909213545,0.20803829546761463,0.12422963861054896,1099.0572803447278
0.14463812077459928,0.8553618792254007,0.09685704701179222,0.7704226694506731,0.20745618890389292,0.12525118800908755,1098.9518054587945
0.144419257296316,0.855580742703684,0.10551641768681101,0.772694945874381,0.2176254611243709,0.12463168331297109,1098.1714267669834
0.15642794521020703,0.8435720547897929,0.09809218265356447,0.7682669610119713,0.21209052468617987,0.12598596322890526,1096.091241959194
0.1450149312286603,0.8549850687713397,0.08813285169291833,0.7671468242839725,0.20531089118856147,0.1253954377039416,1098.5867075175809
0.14761929266654386,0.8523807073334562,0.1161191573328026,0.7715085189878789,0.22184328259923414,0.12249005608241259,1096.9489021316153
0.14253302942650814,0.8574669705734919,0.08992841106746126,0.7686945861883052,0.20316267990509093,0.12525574085075847,1098.6741012992363
0.1465097420886365,0.8534902579113635,0.09021019029076902,0.7693661364956264,0.21190765139377665,0.12447114996391115,1099.6920166014463
0.15441185652904288,0.8455881434709571,0.11559767355207017,0.7689810008491075,0.24648194207858182,0.12456550786496379,1093.3010416496147
0.13926499250913693,0.8607350074908631,0.08506138420179085,0.770143806719855,0.2167891544042767,0.12553917813879809,1098.8480850433968
0.15124685947301766,0.8487531405269824,0.10959154619419584,0.7712188774651508,0.23011242280301378,0.12520520378104616,1097.6796719818303
0.14544427569269874,0.8545557243073012,0.08828822855155032,0.7685772140263027,0.21052218012917587,0.12546152241228375,1099.617428080453
0.15018779785494224,0.8498122021450578,0.11612530793596297,0.7688390230276307,0.2252836865244715,0.12417643280396749,1097.759625692139
0.14683941607422007,0.8531605839257799,0.09164661065071635,0.7692265906304957,0.2115916500839234,0.12458882808892527,1099.7151906196946
0.147640067490962,0.852359932509038,0.08943866083286649,0.7699841949253988,0.21065013418774128,0.12344337427437575,1098.7034932336273
0.14833905819480953,0.8516609418051905,0.10246844942644752,0.7672831055976402,0.2075625745711219,0.12405562391245811,1097.4298042507146
0.14569520648789283,0.8543047935121072,0.09294340841037672,0.764819224877854,0.2108946361815655,0.12662401038593904,1096.7053903271712
0.14105459560824815,0.8589454043917518,0.0907744675936951,0.7676506079453443,0.2235849669302514,0.12423114985406933,1098.4703166541287
0.14166054352016388,0.8583394564798361,0.10865981341565514,0.7683499467024436,0.2224197478883924,0.12298578197326948,1097.9545688511896
0.1347611328894383,0.8652388671105617,0.08313836039004982,0.768716288096006,0.21116961834373657,0.12474615790579127,1098.036946428812
0.14464870270230037,0.8553512972976997,0.10467014884027148,0.7684944555854754,0.21946448369033542,0.12447499846916606,1099.5636784616054
0.1495341334026948,0.8504658665973052,0.10883389166062946,0.770764543664221,0.21465564515725394,0.1272151095868771,1096.2815253750562
0.13712663143620912,0.8628733685637908,0.09819223733062467,0.7706046405677036,0.21607397161635675,0.1248510643491413,1098.7586744484774
0.14415841059214654,0.8558415894078535,0.07180045905717254,0.7678409804229888,0.20086211948323293,0.12343457419088148,1094.6171489452538
0.1507322692400341,0.8492677307599659,0.09621448189904633,0.7700490190911468,0.2272412755296921,0.12160092236156007,1096.1863330984233
0.1472181297683473,0.85278187023165275,0.09969956675459782,0.7719191357996754,0.21667568793517242,0.1251769469961779,1098.939101910538
0.13527279264080144,0.8647272073591985,0.08227813106058961,0.768839018181427,0.2206476514689176,0.1260065393380866,1096.8536573295958
0.14165975762557473,0.8583402423744253,0.08901824034306495,0.7700520526581359,0.22075733236079526,0.12622414084695302,1098.761576430898
0.15053347127691993,0.84946652872308,0.08545317946227167,0.7711611534285105,0.21072307628413214,0.12578921535203233,1097.4944062395532
0.1435424475752619,0.8564575524247381,0.06681079088301185,0.7705746330549853,0.2116364129615707,0.12628216135614065,1094.6013671580993
0.14695612512798364,0.8530438748720164,0.10685877083414326,0.7683891253999593,0.21639670033096875,0.12238540084982519,1097.7335955908993
0.1479783525496437,0.8520216474503564,0.08798988837570462,0.7721358183798717,0.2166216526117811,0.1257214277591586,1097.9174343174654
0.13577810526131046,0.8642218947386895,0.09268784036819204,0.7692725662926061,0.22253403199116628,0.1272985057310781,1096.4203456291418
0.13210614195071294,0.8678938580492871,0.08525087572971479,0.7678638285136926,0.2010259124113478,0.12841752664241207,1093.9929811464006
0.14028813223912473,0.8597118677608753,0.09770474305378107,0.7687605724045408,0.21240337680604482,0.12728807684569504,1098.2361704484958
0.12868155824480312,0.8713184417551969,0.08403568885510533,0.7687124200839401,0.21147761037823382,0.1256057698600267,1095.2416476256124
0.14745135337362528,0.8525486466263748,0.08755846858832547,0.7690555715566335,0.22083647563446002,0.1235113527800136,1098.6011264834817
0.14492503582714245,0.8550749641728576,0.09607466114486805,0.7658011496707344,0.20765360665518043,0.1253607613711187,1097.8111521081294
0.15223132792131558,0.8477686720786844,0.09467880051102395,0.7694354201560104,0.20687111322546217,0.12547451725388867,1097.446602128151
0.13264986046024627,0.8673501395397537,0.09304526044541016,0.76667525989078,0.20520665650341832,0.12468909910406553,1096.2596243525973
0.14098582173084162,0.8590141782691584,0.0980456932513528,0.7656798118044913,0.21538710770415515,0.12744608465021723,1096.616240076245
0.136979051984912,0.863020948015088,0.09506736534173789,0.7707278958735059,0.21490550266449707,0.12284585483959276,1097.5981385908565
0.14794781402581555,0.8520521859741844,0.11472429143418521,0.7702356336903939,0.22604105651254594,0.1253290437436428,1098.0067739302337
0.14724722142168553,0.8527527785783144,0.09745482465044701,0.7725747953223892,0.21135218093736868,0.1246507861597983,1098.0013651757122
0.13978006890628386,0.8602199310937162,0.08656768002908038,0.7681875302838659,0.21765771207787474,0.1256040335333456,1099.0987578237418
0.14941518593800804,0.8505848140619919,0.10458624953451391,0.7686074001474448,0.22142054421131152,0.12854202411883142,1095.028527255578
0.1498961991502929,0.850103800849707,0.09937976596836827,0.7669103414660814,0.21441400543119712,0.12566149354553405,1098.2567693361893
0.14569581273471807,0.8543041872652819,0.09622636184860715,0.7696471956806289,0.21771871158026426,0.12256184412698959,1098.7987607594448
0.14591796898852982,0.8540820310114702,0.0979059283980248,0.7655585093644487,0.220546306469084,0.12455080701956195,1097.7601342306887
0.14008309029708002,0.85991690970292,0.09997574640883511,0.7700726627195155,0.20467005462058688,0.123679120443031,1097.4087165543294
0.15137805146306021,0.8486219485369397,0.07114804976232808,0.7658495319881238,0.20477199259897713,0.12364107925221551,1092.4179399880627
0.13801325308710116,0.8619867469128988,0.1103053959204389,0.7708138400137763,0.21101769546934696,0.12242111415096361,1095.2238702301024
0.14140697974753078,0.8585930202524692,0.0968013335455215,0.7667891783400309,0.21871001107449112,0.12245234411038902,1097.2985072794727
0.1460786623643901,0.8539213376356098,0.09997761771933471,0.7703588465042484,0.23404552066915063,0.12482536044542442,1097.4998471374383
0.14619177379571746,0.8538082262042825,0.08913254379482981,0.7700517278212539,0.20801942708460017,0.12520730297607455,1099.1601588508033
0.13613044948142736,0.8638695505185726,0.08161041069933597,0.7649808584399758,0.21409593836435892,0.12670577492621524,1095.7771379252924
0.14266666920432886,0.8573333307956712,0.0883501987878884,0.7675268354168036,0.2162358477198671,0.12483549324032404,1099.490481079348
0.14559843538369566,0.8544015646163043,0.10749322259563485,0.7713030418644006,0.21653667362445062,0.1232076691081333,1098.4148433524817
0.14592209539767692,0.854077904602323,0.08501856342370856,0.7693916619497589,0.20619995681745212,0.12629089507634197,1098.4561277316527
0.14426715584974892,0.8557328441502511,0.11339461559470863,0.7673669637866912,0.21465606493140454,0.12419650901059462,1097.1320055042993
0.13528495012324088,0.8647150498767591,0.09714471624544975,0.7658887515902604,0.22410145451991573,0.12553472665230508,1095.777162597495
0.1343155426292109,0.8656844573707891,0.09036682651431678,0.7698157782051055,0.2142746256106318,0.12445174117827174,1098.064053643609
0.14601009282381852,0.8539899071761815,0.10098865299432462,0.7703435717911091,0.21563578668109104,0.12413414155648848,1099.7173104831513
0.13865658480771292,0.8613434151922871,0.10876373064306108,0.7704158959858377,0.2260326373782121,0.12446254520084088,1097.6998226660833
0.15259917251190755,0.8474008274880924,0.08954422345285115,0.7660583781960977,0.2130490652402067,0.1255442285381548,1096.733029366698
0.13727206211576592,0.8627279378842341,0.08463722746762777,0.7687183414326971,0.209986831575655,0.12495259660026246,1098.9297978868844
0.15611563299565542,0.8438843670043445,0.1041922167463514,0.7721528597249289,0.2092750900445911,0.12712047400982351,1092.9743453545796
0.14499737232508153,0.8550026276749185,0.08724523937361058,0.76758157186965,0.2189856668138359,0.12627777674600268,1098.6593518424067
0.14715100644846493,0.8528489935515351,0.09621685542398441,0.770225300258184,0.21634293034379945,0.12486076245434023,1099.8713070480878
0.15245115215414348,0.8475488478458565,0.104622950248675,0.7676263464970049,0.21719357743280224,0.12190428806825356,1096.0002817423613
0.1451139365733082,0.8548860634266918,0.0962117273787417,0.7691179848064383,0.21502296568877616,0.12515109580023498,1100.0996685065286
0.13891423687585175,0.8610857631241482,0.10315848439528887,0.7700438721030048,0.21460341100089064,0.12329646613836258,1098.3631824842603
0.1370887661920827,0.8629112338079172,0.08995966861259908,0.7676275512900202,0.2125212208244594,0.12473330124325355,1098.9487502525783
0.14930144707245543,0.8506985529275446,0.08973606729555829,0.7670179448056544,0.21039668060778338,0.12351461499513663,1097.7978896429925
0.1358953848371509,0.8641046151628491,0.11947836566413163,0.771147928981546,0.22280573652011298,0.12363248577791709,1094.3985717852145
0.14046663996204575,0.8595333600379542,0.0974149968025854,0.768055695153448,0.21561536782438243,0.12634421087731537,1099.1303710768852
0.14209379464792674,0.8579062053520733,0.10461090251976221,0.7676008341464405,0.22416807076968276,0.12404610674673595,1098.532027788571
0.1385658963099695,0.8614341036900305,0.09792864486513417,0.7698079356058789,0.2117421765883526,0.12455924150177729,1099.2154977355044
