b0,lp__,Model,bd15,bd30,ba1,ba2
0.7239044483937583,3986.3737629940674,C1,NA,NA,NA,NA
0.721268673318271,3982.691764811072,C1,NA,NA,NA,NA
0.7246962050480702,3986.3977584494055,C1,NA,NA,NA,NA
0.7222219533160876,3985.339752662198,C1,NA,NA,NA,NA
0.7220987364701414,3988.5075360311685,C1,NA,NA,NA,NA
0.722864805720908,3987.205679425069,C1,NA,NA,NA,NA
0.7245915364424312,3986.8138421545946,C1,NA,NA,NA,NA
0.7237126356886797,3986.6896911698227,C1,NA,NA,NA,NA
0.7190290338937055,3985.1242145804426,C1,NA,NA,NA,NA
0.7225585285117478,3987.9352279598884,C1,NA,NA,NA,NA
0.7231309368474638,3982.4553746550478,C1,NA,NA,NA,NA
0.7228766352759077,3986.103707667153,C1,NA,NA,NA,NA
0.7187724602453602,3984.329193943844,C1,NA,NA,NA,NA
0.7217447858299344,3986.890821206524,C1,NA,NA,NA,NA
0.7228062729579203,3987.2530201938157,C1,NA,NA,NA,NA
0.7236569528476683,3985.666017190667,C1,NA,NA,NA,NA
0.719300053651635,3981.622390413621,C1,NA,NA,NA,NA
0.7189423531471711,3985.7123302574614,C1,NA,NA,NA,NA
0.7192939522629598,3988.5699729782236,C1,NA,NA,NA,NA
0.7231989590420064,3989.4831540782006,C1,NA,NA,NA,NA
0.7220252355385276,3983.782087223759,C1,NA,NA,NA,NA
0.7223896993568797,3988.3039198919582,C1,NA,NA,NA,NA
0.7227335151857371,3985.6694629344393,C1,NA,NA,NA,NA
0.7240972143051786,3989.579193384935,C1,NA,NA,NA,NA
0.7219772680073797,3986.890210216589,C1,NA,NA,NA,NA
0.7218732802980646,3980.8044089712234,C1,NA,NA,NA,NA
0.7211856564016329,3986.659976329606,C1,NA,NA,NA,NA
0.724724539483215,3985.954313902902,C1,NA,NA,NA,NA
0.7208949024159285,3986.968598048659,C1,NA,NA,NA,NA
0.7240572569046403,3989.302607606614,C1,NA,NA,NA,NA
0.7224749887860148,3984.0738776985722,C1,NA,NA,NA,NA
0.7214992998906896,3986.3604191463587,C1,NA,NA,NA,NA
0.7203228910041065,3987.7196179097473,C1,NA,NA,NA,NA
0.7234911636012928,3982.598459121474,C1,NA,NA,NA,NA
0.7214012406571082,3986.1184281268543,C1,NA,NA,NA,NA
0.7195090842889545,3983.334106164477,C1,NA,NA,NA,NA
0.7216793088565703,3983.250895999962,C1,NA,NA,NA,NA
0.7193182577990159,3988.150315114637,C1,NA,NA,NA,NA
0.7217180947912111,3988.5923797622627,C1,NA,NA,NA,NA
0.7238376447419871,3985.0760971802843,C1,NA,NA,NA,NA
0.7225103010887501,3987.9808051857867,C1,NA,NA,NA,NA
0.72474320940227,3986.460172716398,C1,NA,NA,NA,NA
0.7192158156586393,3986.3633477499975,C1,NA,NA,NA,NA
0.7225471865563143,3988.2306559117383,C1,NA,NA,NA,NA
0.7222733784441279,3987.1298567122126,C1,NA,NA,NA,NA
0.7222041879935621,3986.4603277171896,C1,NA,NA,NA,NA
0.7199092646759278,3983.2436286861416,C1,NA,NA,NA,NA
0.7200665113268978,3981.6047411702307,C1,NA,NA,NA,NA
0.7224545784233775,3982.7135590777066,C1,NA,NA,NA,NA
0.7207196791411713,3987.26052928514,C1,NA,NA,NA,NA
0.7218159650947795,3983.9985640156106,C1,NA,NA,NA,NA
0.7189658635946624,3982.507538134415,C1,NA,NA,NA,NA
0.7212750753856348,3987.508796252436,C1,NA,NA,NA,NA
0.720459835813578,3985.068988311845,C1,NA,NA,NA,NA
0.7205335762277039,3984.9506873572823,C1,NA,NA,NA,NA
0.7228236520702,3982.4230072340074,C1,NA,NA,NA,NA
0.7221672592176882,3985.412660738613,C1,NA,NA,NA,NA
0.7240168009518559,3989.1097809086823,C1,NA,NA,NA,NA
0.7211405124236411,3986.779642991914,C1,NA,NA,NA,NA
0.7227668072419773,3985.3194897679637,C1,NA,NA,NA,NA
