b0,sigma,lp__,Model,bd15,bd30
0.7402003395389929,0.0921550747570621,3874.9302064598696,C1,NA,NA
0.7408015538368244,0.09109140810268629,3867.329958653184,C1,NA,NA
0.740103945459491,0.09389133995664434,3870.1326857629747,C1,NA,NA
0.7366161600638084,0.09144375941960686,3868.7647217414055,C1,NA,NA
0.7358264427580621,0.09168700212166486,3873.9690542425633,C1,NA,NA
0.7383487912854271,0.09313491629915016,3871.6624027445287,C1,NA,NA
0.7440361239648773,0.09065187199272626,3860.5333039552734,C1,NA,NA
0.7405427571021921,0.09324222481576354,3874.634167373702,C1,NA,NA
0.740483765388632,0.09279642990228298,3867.798341268887,C1,NA,NA
0.7374286365316872,0.09209612031556788,3871.845100543575,C1,NA,NA
0.7374510015477198,0.09185768319457643,3868.6144060036386,C1,NA,NA
0.739298268342695,0.09260596777112551,3872.5083694820537,C1,NA,NA
0.7352951077082357,0.09173916869933199,3870.1180065851568,C1,NA,NA
0.7363267615145929,0.0927907980583435,3875.012493951461,C1,NA,NA
0.7353354646363052,0.09222037172551198,3873.3099327707237,C1,NA,NA
0.7388527659003318,0.09292438977927245,3873.089677062828,C1,NA,NA
0.7403233354491965,0.09175360613484083,3870.945029975809,C1,NA,NA
0.7371097060792305,0.09157616393931382,3867.8927737949493,C1,NA,NA
0.7364385321598459,0.09293967082999037,3872.8235884122796,C1,NA,NA
0.7378568085368252,0.09296010137897436,3866.3999111463577,C1,NA,NA
0.7372584865588577,0.0939482299875655,3871.273749815901,C1,NA,NA
0.7338346877558617,0.0922960403669352,3871.5300139805713,C1,NA,NA
0.7380970508284368,0.09272528916705138,3874.076265463451,C1,NA,NA
0.7395167718357282,0.09279872367252451,3871.5057388296627,C1,NA,NA
0.7369949498072799,0.09271719927747818,3872.5557997665014,C1,NA,NA
0.739061560733348,0.0903325825604334,3871.4030951325203,C1,NA,NA
0.7377039187361519,0.09425651167679672,3872.499891089099,C1,NA,NA
0.7407457864891873,0.09114332749627566,3872.7902372897415,C1,NA,NA
0.7381745493477159,0.09276770664464185,3873.2180532539674,C1,NA,NA
0.7403869325243059,0.09333482833039486,3872.8651318871366,C1,NA,NA
0.7423762156408781,0.09113438793035318,3870.987513734547,C1,NA,NA
0.7393507266734296,0.09405357213853716,3872.597959095034,C1,NA,NA
0.7363249045296739,0.08964937704391927,3868.993012323302,C1,NA,NA
0.7385630933936953,0.09301621277939473,3873.8637204653733,C1,NA,NA
0.7368476191663272,0.09310431526350756,3872.8049413152603,C1,NA,NA
0.7355075199505474,0.09292732576675986,3872.2807653019513,C1,NA,NA
0.7366678466029549,0.09208255293231452,3872.1579791274976,C1,NA,NA
0.737944941850855,0.09001579787925833,3869.7091316513906,C1,NA,NA
0.740223000476601,0.09194079071827091,3875.1641987826297,C1,NA,NA
0.7389072384108347,0.0919931603611515,3871.5664744467144,C1,NA,NA
0.7382025169214642,0.0909166500507135,3874.0005717655813,C1,NA,NA
0.7386882497215888,0.09267370372682956,3871.620667703246,C1,NA,NA
0.7368723443525729,0.09138517524013746,3871.6601497886145,C1,NA,NA
0.7360200661570241,0.09244713808602693,3871.8202012869074,C1,NA,NA
0.7364467060414078,0.09280034285738764,3869.8498712795567,C1,NA,NA
0.737465324073342,0.09203090329320954,3872.9476348286776,C1,NA,NA
0.7342901534220128,0.09253228841200085,3872.2345257361007,C1,NA,NA
