Agp,Cluster,mu,std,N,Prop
"[0,30)",1,0.15800000000000003,0.0014142135623730963,2,0.2857142857142857
"[0,30)",2,0.7328,0.07212281192521551,5,0.7142857142857143
"[30,35)",0,1,0,2,0.11764705882352941
"[30,35)",1,-0.349,NA,1,0.058823529411764705
"[30,35)",2,0.7946428571428571,0.05568124548625956,14,0.8235294117647058
"[35,40)",1,0.23174999999999996,0.05396526660732811,4,0.26666666666666666
"[35,40)",2,0.7422727272727273,0.11769969490962238,11,0.7333333333333333
"[40,45)",0,1,NA,1,0.047619047619047616
"[40,45)",1,0.24933333333333335,0.05061949558552836,3,0.14285714285714285
"[40,45)",2,0.745764705882353,0.1318040825485713,17,0.8095238095238095
"[45,50)",0,1,0,14,0.2692307692307692
"[45,50)",1,0.362,NA,1,0.019230769230769232
"[45,50)",2,0.7242432432432433,0.1049622697833754,37,0.7115384615384616
"[50,55)",0,1,0,98,0.11666666666666667
"[50,55)",1,0.09749999999999999,0.16601308922609845,108,0.12857142857142856
"[50,55)",2,0.7253264984227129,0.09114404874789558,634,0.7547619047619047
"[55,60)",0,1,0,138,0.1362290227048371
"[55,60)",1,0.0603859649122807,0.1712053835050058,114,0.1125370187561698
"[55,60)",2,0.7310157687253613,0.08542614393035426,761,0.7512339585389931
"[60,65)",0,1,0,123,0.1487303506650544
"[60,65)",1,0.045610169491525424,0.21636025804943684,118,0.14268440145102781
"[60,65)",2,0.7357116040955631,0.0876241806096237,586,0.7085852478839177
"[65,70)",0,1,0,117,0.1357308584686775
"[65,70)",1,0.1171340206185567,0.15670757193376003,97,0.11252900232018562
"[65,70)",2,0.726783950617284,0.08821713195026684,648,0.7517401392111369
"[70,75)",0,1,0,62,0.09538461538461539
"[70,75)",1,0.04655999999999999,0.21692848144170943,100,0.15384615384615385
"[70,75)",2,0.715875,0.09737635634037306,488,0.7507692307692307
"[75,80)",0,1,0,68,0.13307240704500978
"[75,80)",1,0.06218518518518517,0.17421187209875721,54,0.10567514677103718
"[75,80)",2,0.725655526992288,0.09204223370331295,389,0.761252446183953
"[80,85)",0,1,0,24,0.0784313725490196
"[80,85)",1,0.06853968253968254,0.16476364551614098,63,0.20588235294117646
"[80,85)",2,0.7373926940639269,0.07346322266272515,219,0.7156862745098039
"[85,90)",0,1,0,12,0.0916030534351145
"[85,90)",1,-0.04535714285714287,0.28743079222216317,28,0.21374045801526717
"[85,90)",2,0.7049230769230769,0.10203019496090697,91,0.6946564885496184
"[90,100)",0,1,0,4,0.08163265306122448
"[90,100)",1,0.12841666666666668,0.1075803786886246,12,0.24489795918367346
"[90,100)",2,0.7163030303030303,0.09280237229203953,33,0.673469387755102
NA,1,-0.22520000000000007,0.030857738089497173,5,0.5
NA,2,0.6474,0.056963145980537325,5,0.5
All,0,1,0,663,0.12483524759932216
All,1,0.06709718309859154,0.19215442593214446,710,0.13368480512144607
All,2,0.7274786693753175,0.08988431690940665,3938,0.7414799472792318
