Agp,Cluster,mu,std,N,Prop
"[0,30)",0,1,0,2,0.07142857142857142
"[0,30)",1,0.7052352941176471,0.07134645174408179,17,0.6071428571428571
"[0,30)",2,0.059222222222222225,0.1592040968205418,9,0.32142857142857145
"[30,35)",0,1,0,3,0.13636363636363635
"[30,35)",1,0.7824705882352941,0.07147562315840524,17,0.7727272727272727
"[30,35)",2,-0.09599999999999997,0.35779603128039306,2,0.09090909090909091
"[35,40)",1,0.7279375,0.09457728321325372,16,0.7272727272727273
"[35,40)",2,0.24416666666666662,0.10260295642264244,6,0.2727272727272727
"[40,45)",0,1,NA,1,0.030303030303030304
"[40,45)",1,0.74372,0.08696719688096964,25,0.7575757575757576
"[40,45)",2,0.20685714285714285,0.21231221394558575,7,0.21212121212121213
"[45,50)",0,1,0,14,0.2545454545454545
"[45,50)",1,0.7295641025641025,0.08961314367640583,39,0.7090909090909091
"[45,50)",2,0.38799999999999996,0.036769552621700424,2,0.03636363636363636
"[50,55)",0,1,0,99,0.11674528301886793
"[50,55)",1,0.7365508607198749,0.0927376393087284,639,0.7535377358490566
"[50,55)",2,0.11617272727272727,0.17147427972489823,110,0.12971698113207547
"[55,60)",0,1,0,141,0.1376953125
"[55,60)",1,0.7457542262678803,0.08842520194795869,769,0.7509765625
"[55,60)",2,0.08687719298245615,0.1829784135607779,114,0.111328125
"[60,65)",0,1,0,123,0.14837153196622438
"[60,65)",1,0.7533633276740238,0.08898391133223231,589,0.7104945717732207
"[60,65)",2,0.07996581196581197,0.23796395451557045,117,0.1411338962605549
"[65,70)",0,1,0,117,0.1352601156069364
"[65,70)",1,0.7405908396946564,0.09615919478473484,655,0.7572254335260116
"[65,70)",2,0.14648387096774196,0.16634697974958626,93,0.10751445086705202
"[70,75)",0,1,0,64,0.09667673716012085
"[70,75)",1,0.728748502994012,0.10806020832274242,501,0.756797583081571
"[70,75)",2,0.07165979381443299,0.23373323855225153,97,0.14652567975830816
"[75,80)",0,1,0,68,0.13152804642166344
"[75,80)",1,0.7393061224489796,0.09545209783091498,392,0.758220502901354
"[75,80)",2,0.11587719298245613,0.19113402834655047,57,0.1102514506769826
"[80,85)",0,1,0,24,0.07547169811320754
"[80,85)",1,0.7494803493449782,0.08369685172902926,229,0.720125786163522
"[80,85)",2,0.10152307692307694,0.20563917942693855,65,0.20440251572327045
"[85,90)",0,1,0,13,0.0962962962962963
"[85,90)",1,0.7180967741935483,0.1072103848510761,93,0.6888888888888889
"[85,90)",2,-0.01844827586206898,0.30250614943063514,29,0.21481481481481482
"[90,100)",0,1,0,4,0.08163265306122448
"[90,100)",1,0.7178484848484848,0.09397011533332061,33,0.673469387755102
"[90,100)",2,0.13283333333333336,0.10992297578786976,12,0.24489795918367346
NA,1,0.6474,0.056963145980537325,5,0.5
NA,2,-0.22520000000000007,0.030857738089497173,5,0.5
All,0,1,0,673,0.12423850839948311
All,1,0.7407797959691466,0.09427663101563247,4019,0.7419235739339117
All,2,0.09624827586206897,0.20773470155406887,725,0.13383791766660513
