theta.1,theta.2,mu.1,mu.2,sigma.1,sigma.2,lp__
0.14956089752266374,0.8504391024773362,0.17017713480142768,0.7826048103898043,0.2579817311507913,0.12232937265808799,1143.9646517235806
0.16496029827468903,0.835039701725311,0.17278587304706558,0.7837261721181368,0.25403730216383885,0.12147049907736555,1143.389030785163
0.1674006096896343,0.8325993903103657,0.17439024389346586,0.7869391786532218,0.2693057115414829,0.12196714972606901,1142.6812498902757
0.15023192045553835,0.8497680795444617,0.17983673780725784,0.7855954679425572,0.2583315491460927,0.12151111979292224,1143.3669310398782
0.165089806126308,0.834910193873692,0.19624026793237223,0.7855586413096974,0.2732692240333909,0.11901169803735098,1143.6864858065903
0.15094979702869335,0.8490502029713066,0.15838430927070138,0.7857986451028653,0.2547030485737238,0.12162584460877035,1143.588261220578
0.15783581722800402,0.842164182771996,0.15842019484115213,0.783942156384766,0.2697991014934566,0.12085199902811854,1142.7901531587252
0.15382087965451835,0.8461791203454816,0.1773647363678321,0.7842710169970377,0.26436259011376034,0.12196245256858654,1144.6086054009331
0.16081695741227311,0.8391830425877269,0.18699606693059143,0.7843680183127668,0.27247332387111706,0.12074536305463739,1144.6488769262992
0.15309070106915612,0.8469092989308439,0.1775754997506681,0.7844315430116224,0.2721890731088538,0.12256310310242471,1143.3964157886953
0.16220231493428222,0.8377976850657178,0.18512735481085052,0.7874789489005568,0.2641755343662247,0.12076073603015638,1143.8237438215988
0.16024912554584783,0.8397508744541522,0.19010808055985284,0.7858281217537114,0.2682851794970487,0.12146602654222553,1144.4933672173024
0.16042520729324658,0.8395747927067534,0.16365173832403831,0.7830543816505239,0.25633646924904047,0.12392810188622919,1143.0243007225904
0.16705938508124596,0.832940614918754,0.20109482675202306,0.7837986512544114,0.26418921650035393,0.11954009434590347,1142.2133190855993
0.16105367512527105,0.838946324874729,0.1965965058947258,0.7847560608266404,0.2580048498368633,0.11982306881823016,1142.4236743324932
0.16513146548732227,0.8348685345126777,0.20006801902510662,0.7861689208175496,0.26328798833247513,0.12139065411470955,1142.8512928729508
0.16099627209588072,0.8390037279041193,0.1896452339930769,0.7853917660524353,0.2701031298151417,0.12370045308198549,1142.7282263195812
0.14676757337665555,0.8532324266233444,0.16058473004685223,0.7852925148537024,0.25418867875697665,0.1212995503880025,1142.9611457755468
0.1646960240800022,0.8353039759199978,0.1858040832728196,0.7825453458591038,0.26347489259791607,0.12024687228614736,1143.4383781650163
0.15362380217062657,0.8463761978293735,0.16964407093370562,0.7865527541732464,0.2628292733798358,0.12255482537385085,1143.545506152256
0.15630648954395265,0.8436935104560473,0.18783532806100078,0.7862200695686333,0.2634118809268244,0.11983159614625129,1143.6145103256351
0.14678275747492892,0.853217242525071,0.1705500476513709,0.7847366252145774,0.2622489375394263,0.12228992700032806,1142.8873727140253
0.17451856786334716,0.8254814321366528,0.17012959544287073,0.7829183370290337,0.27266147635652094,0.1219413226809992,1139.319691032094
0.15861693802954543,0.8413830619704545,0.1880362929655537,0.7835987625533549,0.2561887054247494,0.122229318833359,1143.2828347581433
0.17736997649010577,0.8226300235098942,0.2262050945568319,0.7838383894381846,0.2865612107972851,0.11930295157363745,1139.8436740804352
0.16111276646315123,0.8388872335368488,0.15724151921673954,0.7858953795187797,0.25526020491877566,0.12078051326509691,1142.8218571980037
0.16054820047583354,0.8394517995241665,0.1624636788214974,0.7848418268881922,0.2619723081959745,0.12101606867804879,1144.0739181430497
0.16413007701800866,0.8358699229819914,0.2038750088236669,0.7872735469782621,0.27834939119234525,0.12272405149058166,1141.9046118695817
0.15232633254577457,0.8476736674542255,0.16307062004625242,0.7844623999128831,0.25994225177115415,0.12232535193228093,1144.4212115405126
