Key,PZ_ba2,PZ_ba1,PZ_b0,PC1_bd15,PZ_bd30,PC1_bd30,PZ_bd15,C2_b0,C1_b0,PC1_b0,r0,ba1
1,1.6172039757248076,-5.9967072649781175,-1.570848050461567,-0.7854705655887425,-0.7817054238724819,-0.6882245808298109,-0.40503501396198055,0.04360958281691777,0.7084450221040742,2.4537752662166152,6.156233646370083,-0.01318460386052197
2,-7.5058864567328545,-10.323800215990264,-1.582055645902132,-0.7335785413201793,-0.7330677816743543,-0.5427255418064392,-0.2567633479496272,0.0745293345799436,0.7360914103635016,2.3056618942664127,6.7733216584748845,-0.01517525935039873
3,-12.469330811714348,-7.609169122427516,-1.6089780521087125,-0.8011788321779187,-0.5267318229867824,-0.3748600781791748,-0.5259863957557835,-0.06576841052378282,0.7170136646358344,2.4086321850171637,4.573993242195485,-0.00946935237692267
4,-11.963962060602658,-7.012867072194055,-1.5473922285680144,-0.8912611828330025,-0.5799318535482121,-0.6939677411151902,-0.36781463244628687,-0.03369923371575031,0.7109570957215177,2.1486630975699397,7.106498419691923,-0.01653569903549777
5,-4.609576292033136,-9.672371666448102,-1.6249541314659266,-0.5782433077968617,-0.8918846556919958,-0.5857880970504271,-0.732867838136221,0.02641217953523164,0.7079530678157799,2.361280470081876,6.1399336638279,-0.01362889686238147
6,-4.640438271095322,-2.4248271213445793,-1.5836989400152954,-0.7325588392094,-0.5819066559488312,-0.5090957101545461,-0.5526078855141388,0.08387277470120183,0.7230311666288791,2.294687401910984,4.907900831720808,-0.01040474874740408
7,-10.889359172825548,-12.135207312818824,-1.3423275211108423,-0.8556419708377297,-0.559913471180187,-0.5355780861778356,-0.5080991031669067,0.0439402728557938,0.7074470403357483,2.3559571860401616,5.606044303555564,-0.01186286397658865
8,-15.13289764823314,-5.892010198573448,-1.7050714655459502,-0.6875722780835726,-0.8236404945757203,-0.4827967573362123,-0.30723145660785794,0.05585638430128635,0.7362842743681842,2.3397202831518285,5.238310439498856,-0.01160582568569975
9,-4.390468250882456,-8.463539562627236,-1.525301015083014,-0.73875397536234,-0.5835492552557249,-0.6659183516536714,-0.2730586848058369,0.04076682356029903,0.7165519911718594,2.4208942762969907,4.034747500316711,-0.00724733338759531
10,-6.637798007476187,-11.284696440915312,-1.470094663914874,-0.838801113069573,-0.6619255382788214,-0.5934887586104722,-0.22931549495577644,0.02406283037097741,0.7261807429639326,2.183548403904133,5.3450594960686875,-0.01145611681878182
11,-5.457393659899661,-7.957642259699404,-1.6642384457631223,-0.7476859299493241,-0.8361792183936884,-0.6449829241181626,-0.4413945109558347,0.00977488378538536,0.722712926559077,2.353746243753965,4.103147608634926,-0.00717322241400729
