Key,PZ_ba2,PZ_ba1,PZ_b0,PC1_bd15,PZ_bd30,PC1_bd30,PZ_bd15,C2_b0,C1_b0,PC1_b0,r0,ba1
1,-5.589152055301114,-11.690155256689694,-1.6035490062738604,-0.7737456311864822,-0.6656701810009137,-0.7052806116430862,-0.5248027092191089,0.01724199002082967,0.7337943083119105,2.4055132425111614,5.824960993713375,-0.01249736289759164
2,-6.500665810141259,-8.993902924358197,-1.5502748319611284,-0.9429727316388192,-0.871347647787464,-0.6827323777308576,-0.3543844241552724,-0.00523528709605261,0.7246812440277157,2.4450544437272757,5.949555160501237,-0.01340765740611229
3,-5.065754819392279,-4.204911830856664,-1.5474199066581342,-0.685529787975824,-0.7011541525922195,-0.8258381346857772,-0.646919877843722,0.0101013118164056,0.7043725531637196,2.303671781155504,3.86443448220062,-0.00665753095572464
4,-5.013802407007709,-8.032982194863585,-1.48079942081286,-0.9020987087022518,-0.6796095498196337,-0.4452751511867093,-0.4008348864504487,0.05385468291317716,0.7295346786949687,2.50244532116338,7.638976074876051,-0.01750002566676981
5,-6.427617886723443,-5.187165507095024,-1.5111692561052097,-0.7507024426371692,-0.5006729525386471,-0.5738146855007653,-0.6560540513641211,0.059348605878211363,0.7135486541490575,2.161797340447662,6.663365159117713,-0.01465455533155424
6,-9.080158796613636,-7.750330237404635,-1.4600138512295582,-0.7594736398731069,-0.7648758884064838,-0.652437594967598,-0.42442303984169366,0.06338222596831648,0.7148075442582272,2.2178963198312127,6.61355165851369,-0.01493223492313817
7,-6.045108703457665,-8.156656833999888,-1.4537013772619274,-0.7955322553870896,-0.6527705564057849,-0.596195301871657,-0.4224394489105162,0.05109861374225451,0.7400385361907009,2.591435048812397,6.488962177632595,-0.01422613431765414
8,-11.842407582195564,-7.462229675781893,-1.4105900004685077,-0.6899277276385705,-0.6712105260719075,-0.767823694195999,-0.3371679812951357,-0.04986082351038012,0.7143573557297022,2.27736026602018,4.328941149044948,-0.00842452193974449
9,-5.389144198782097,-4.328207280103646,-1.5388204843253517,-0.8670378073120265,-0.6224964138994163,-0.5112058024918071,-0.4711031695122469,0.03932723118883714,0.7216215600006742,2.2596128038259775,4.991247407686262,-0.00977942975563906
10,-8.483064648447668,-7.108099309496522,-1.5255135844509669,-0.913976979568684,-0.7647386480888829,-0.5053114000353975,-0.6893091485989014,-0.00235674284643682,0.7316753101622251,2.3347670334461887,5.141850304126387,-0.01108433516658612
11,-7.669411814622628,-10.346981686540452,-1.6498193874369664,-0.7188487944383692,-0.7749098305159333,-0.6122632594310761,-0.4252203372002844,0.00770272055310431,0.6981047114981697,2.482636210115021,7.740001769257332,-0.01722076382255455
12,-12.558675141837508,-6.579897452784861,-1.5230270604767082,-0.96239137956002,-0.8294346407793347,-0.6578008372850006,-0.4504681466636501,0.05348939275899554,0.7019081281817406,2.4283698441015917,5.279407781701264,-0.01104643882399243
