study,proxy,Source
Drolet et al. 2010,Canada,Poder et al.
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.
Rampakakis et al. 2017 Korea,Korea,Janssen et al.
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.
Scott et al. 2006,UK,McNamara et al.
van Wijck et al. 2016,Netherlands ,Janssen et al.
