b0,b1,b2,bt,lp__
0.16330970722064508,0.04106073915502567,-3.483188281294389e-4,0.5930518459405891,-5819.368213832112
0.4355135604416874,0.030313135966963483,-2.557385856500289e-4,0.7113427826925103,-5818.364541143344
-0.2784696808060212,0.05223716002166034,-4.2689511814900414e-4,0.8118384163236089,-5822.3395877793255
0.3391674112514552,0.03630577601172743,-3.257833802400717e-4,0.7604298549321732,-5820.9958733648355
0.09313617068545514,0.042287471748899234,-3.5164543423995073e-4,0.6298775853894644,-5819.783642238187
-0.15245605719354316,0.05225033793344001,-4.4823495647331986e-4,0.7128393531730327,-5822.652052284769
0.3076620979012009,0.03575228406324755,-3.086101728706482e-4,0.7489765162259253,-5818.326457368288
0.34535505249279375,0.03349724090371618,-2.8590999936656855e-4,0.7301615105981916,-5818.5349737747665
0.1426551062580542,0.04093765668587914,-3.5344458926896285e-4,0.7799509363699504,-5820.3442737692385
0.563349781019631,0.024637157474669828,-2.0153527247887017e-4,0.7294024785025874,-5821.764869496522
-0.14089013443015716,0.04804296144930151,-3.838358313591515e-4,0.6088050194676274,-5820.256257457535
-0.19028841199603505,0.050371085069409634,-4.1748964221333985e-4,0.6765077679931958,-5822.938651436873
0.0037000702190033404,0.04407196027037511,-3.6055127216023724e-4,0.7604018762035714,-5820.797803176907
0.0167801423097127,0.045125399187825994,-3.788577812142659e-4,0.7315207321767372,-5818.92863733928
0.49299848784112954,0.03047951911206482,-2.6878749124175803e-4,0.6832794084415583,-5820.09924767204
0.24334177742460442,0.037192516779702915,-3.1300303147472784e-4,0.7234813961888913,-5817.852967194812
0.16346745310866398,0.03856197618726542,-3.1746951177822046e-4,0.7095809601748152,-5817.932068749595
0.4194211250962661,0.0315635039270853,-2.700328365638219e-4,0.6940301253073622,-5818.527288048112
0.32911986774143775,0.03632502569441215,-3.1501349243578806e-4,0.6113353995380195,-5819.418664742986
0.6023224199581688,0.026569655767749223,-2.3318114101015053e-4,0.7180117384122056,-5820.349819480533
-0.1704494124520772,0.049580106280759394,-4.068764281317821e-4,0.7089114080019424,-5818.819550187808
-0.15335878472937486,0.05131772776134952,-4.3597424375322664e-4,0.7416551730958468,-5820.563215607697
-0.08638986543846407,0.04596615410425015,-3.725331476967627e-4,0.6789785643561004,-5820.063946176833
