k,b_t,b_a1,b_a2,b_ta1,b_ta2
3.34793578736444,4.7143157075941895,-20.884326060410714,-4.082379859738913,-17.71904287481539,39.242967776969984
3.296225084579044,4.583860149564423,-18.51697831992256,-7.40505083044743,-30.81946751928801,49.74580567130076
3.2544016956039092,4.809692612139361,-23.702979513748634,-18.906950182453343,-11.556183838205035,48.43492628744469
3.0277717431156415,4.7039516743032355,-0.6568980628305525,-13.45064366765074,-35.88775206587062,42.08331205176769
2.9401961860456463,4.695466553670411,-18.98875539878343,-5.375150257208236,-44.68692035376778,39.208850106852225
2.932570814794877,4.521613265281822,-1.6247102056937741,-13.744221748627064,-19.21471225617477,32.92123262523807
2.7343440139265294,4.7541311607858505,-13.238824346190023,-4.2325197301455315,-18.852571935533167,39.81005915444515
3.304665225602161,4.864775745712629,-24.863092741027135,-13.2870254092955,-24.759473749275656,59.72825146249238
3.4616585418255235,4.582174471629135,-10.109175554400302,-9.31375154077815,-19.55032393189506,42.96090620004074
3.063299247535951,4.815459769836192,-26.90851752884888,-12.275060574170158,-15.706108217468133,42.284121960333565
2.9629375560056013,4.705832956326169,-16.239952957547494,-15.732884879108498,-26.251520073268615,40.95104566383339
2.9789819399669195,4.576381406506004,-11.97932410826985,-13.681987283429374,-40.61668795580008,48.256705762871746
3.0313639979604687,4.650886861677996,-12.608797698917462,-14.658968040514193,-20.739053046900686,61.982473725623066
2.457154496488085,4.804144024329238,-9.927312966551279,-7.242340024195316,-29.057953201934133,50.62213726821443
2.6201893415946973,4.674264292051588,-22.922432613238385,-12.537911296478322,-22.4288930320253,54.419685865056216
2.8354310047119973,4.771006014308582,-18.900919892312544,-19.154179381067006,-24.25958354006971,59.39310438204926
3.251293751412059,4.818080083609813,-23.792438113310745,-16.53340446190654,-26.685160612674352,49.97621609276523
3.374719473526354,4.80834353177387,-21.28008096155954,-5.908962903043763,-27.845546244911088,38.6674407077288
3.0797709579005406,4.736137744221551,-9.044841202123202,-3.572985464366452,-28.42093896999544,30.05184939845899
3.036265970118483,4.773485312320055,-27.28516809131106,-12.279733007542477,-17.757489158175524,43.94475985278342
3.0845457520205937,4.600892987968588,-22.35070086004609,-10.856854124424764,-14.841478165516127,40.76042731602737
2.8509036863431194,4.664059554692769,-19.251797794755785,-7.965270130026124,-7.447707307267838,44.692003753710935
3.4376153689186606,4.744115471008046,-31.237975495384482,-18.708933299803252,-4.899457576763319,54.014338192732005
2.8129898962762647,4.799817774215822,-14.420285620968816,-20.23478067539456,-26.77399693338457,53.555782153925804
3.7281521511869746,4.590537070211273,-24.43263724868707,-13.797002355417327,-21.228036942828922,47.27674452334447
3.174725552755653,4.743373919874639,-19.820847882385145,-15.02590883419976,-21.567454024810434,60.37845187974096
2.77016254336552,4.567219128495036,-11.688178388153933,-10.247545400245743,-23.932934922775413,51.20046023397834
2.804991693326164,4.7740433110038065,-24.171644010676903,-15.637039571242424,-12.460918914321322,51.51928163192857
3.4915484363233134,4.660447358298059,-17.031946802975526,-11.253963758008299,-32.55149901544343,22.960376508632148
2.916511539753223,4.802359947560804,-13.899260310155395,-14.403841474808718,-34.74728899679681,38.99144660992119
3.3090603274712285,4.668087306407722,-32.3208023449463,-11.715734318289327,1.8236567088700153,65.82502871160533
3.160050019321616,4.646202123679891,-20.27326664752689,-11.555868207883083,-4.0574058708243745,48.18003086253924
3.387589797890779,4.747636916251996,-12.401917153934438,-12.239267757746081,-24.5545607336074,59.64632208546125
2.4683152344921853,4.734071622558569,-10.45783620857118,-8.830263780150839,-41.814272023161244,54.59516581803587
