study,Age,QL00,QL15,QL35
Rampakakis et al. 2017 Mexico,50,0.033 (0.030 - 0.037),0.033 (0.030 - 0.037),0.033 (0.029 - 0.037)
Rampakakis et al. 2017 Mexico,60,0.028 (0.025 - 0.032),0.028 (0.025 - 0.031),0.028 (0.025 - 0.031)
Rampakakis et al. 2017 Mexico,70,0.029 (0.025 - 0.032),0.029 (0.025 - 0.032),0.028 (0.025 - 0.032)
Rampakakis et al. 2017 Mexico,80,0.030 (0.026 - 0.034),0.030 (0.026 - 0.034),0.030 (0.026 - 0.034)
Rampakakis et al. 2017 Mexico,90,0.032 (0.027 - 0.038),0.031 (0.026 - 0.037),0.031 (0.026 - 0.037)
Rampakakis et al. 2017 Taiwan,50,0.064 (0.058 - 0.071),0.064 (0.058 - 0.070),0.064 (0.058 - 0.070)
Rampakakis et al. 2017 Taiwan,60,0.049 (0.045 - 0.054),0.049 (0.045 - 0.053),0.049 (0.045 - 0.053)
Rampakakis et al. 2017 Taiwan,70,0.038 (0.034 - 0.042),0.038 (0.034 - 0.042),0.038 (0.034 - 0.042)
Rampakakis et al. 2017 Taiwan,80,0.036 (0.032 - 0.041),0.036 (0.032 - 0.041),0.036 (0.031 - 0.041)
Rampakakis et al. 2017 Taiwan,90,0.038 (0.032 - 0.045),0.038 (0.032 - 0.045),0.038 (0.032 - 0.044)
Rampakakis et al. 2017 Thailand,50,0.020 (0.018 - 0.023),0.020 (0.018 - 0.023),0.020 (0.018 - 0.023)
Rampakakis et al. 2017 Thailand,60,0.020 (0.018 - 0.023),0.020 (0.018 - 0.023),0.020 (0.018 - 0.023)
Rampakakis et al. 2017 Thailand,70,0.020 (0.018 - 0.023),0.020 (0.018 - 0.023),0.020 (0.018 - 0.023)
Rampakakis et al. 2017 Thailand,80,0.020 (0.018 - 0.024),0.020 (0.018 - 0.024),0.020 (0.017 - 0.024)
Rampakakis et al. 2017 Thailand,90,0.021 (0.018 - 0.025),0.021 (0.018 - 0.025),0.021 (0.018 - 0.025)
Scott et al. 2006,50,0.043 (0.039 - 0.048),0.043 (0.039 - 0.048),0.043 (0.039 - 0.047)
Scott et al. 2006,60,0.040 (0.036 - 0.044),0.039 (0.036 - 0.043),0.039 (0.036 - 0.043)
Scott et al. 2006,70,0.033 (0.030 - 0.037),0.033 (0.029 - 0.037),0.033 (0.029 - 0.037)
Scott et al. 2006,80,0.023 (0.020 - 0.027),0.023 (0.020 - 0.027),0.023 (0.020 - 0.027)
Scott et al. 2006,90,0.023 (0.019 - 0.027),0.022 (0.019 - 0.027),0.022 (0.019 - 0.027)
van Wijck et al. 2016,50,0.060 (0.054 - 0.066),0.060 (0.054 - 0.066),0.060 (0.054 - 0.065)
van Wijck et al. 2016,60,0.058 (0.054 - 0.063),0.058 (0.053 - 0.063),0.058 (0.053 - 0.063)
van Wijck et al. 2016,70,0.054 (0.049 - 0.059),0.054 (0.049 - 0.059),0.054 (0.049 - 0.059)
van Wijck et al. 2016,80,0.048 (0.042 - 0.054),0.048 (0.042 - 0.054),0.048 (0.042 - 0.054)
van Wijck et al. 2016,90,0.044 (0.037 - 0.052),0.044 (0.037 - 0.052),0.044 (0.037 - 0.051)
