study,Age,QL00,QL15,QL35
Drolet et al. 2010,50,0.040 (0.035 - 0.044),0.039 (0.035 - 0.044),0.039 (0.035 - 0.043)
Drolet et al. 2010,60,0.043 (0.039 - 0.047),0.043 (0.039 - 0.047),0.042 (0.039 - 0.047)
Drolet et al. 2010,70,0.047 (0.042 - 0.051),0.046 (0.042 - 0.051),0.046 (0.042 - 0.051)
Drolet et al. 2010,80,0.047 (0.041 - 0.053),0.046 (0.041 - 0.052),0.046 (0.041 - 0.052)
Drolet et al. 2010,90,0.046 (0.039 - 0.054),0.046 (0.039 - 0.054),0.046 (0.039 - 0.054)
Rampakakis et al. 2017 Argentina,50,0.050 (0.046 - 0.056),0.050 (0.045 - 0.055),0.050 (0.045 - 0.055)
Rampakakis et al. 2017 Argentina,60,0.046 (0.042 - 0.051),0.046 (0.042 - 0.050),0.046 (0.042 - 0.050)
Rampakakis et al. 2017 Argentina,70,0.036 (0.032 - 0.040),0.035 (0.032 - 0.039),0.035 (0.032 - 0.039)
Rampakakis et al. 2017 Argentina,80,0.025 (0.022 - 0.029),0.025 (0.022 - 0.029),0.025 (0.022 - 0.029)
Rampakakis et al. 2017 Argentina,90,0.024 (0.020 - 0.028),0.024 (0.020 - 0.028),0.023 (0.020 - 0.028)
Rampakakis et al. 2017 Costa Rica,50,0.033 (0.030 - 0.037),0.033 (0.030 - 0.037),0.033 (0.029 - 0.037)
Rampakakis et al. 2017 Costa Rica,60,0.028 (0.025 - 0.032),0.028 (0.025 - 0.031),0.028 (0.025 - 0.031)
Rampakakis et al. 2017 Costa Rica,70,0.029 (0.025 - 0.032),0.029 (0.025 - 0.032),0.028 (0.025 - 0.032)
Rampakakis et al. 2017 Costa Rica,80,0.030 (0.026 - 0.034),0.030 (0.026 - 0.034),0.030 (0.026 - 0.034)
Rampakakis et al. 2017 Costa Rica,90,0.032 (0.027 - 0.038),0.031 (0.026 - 0.037),0.031 (0.026 - 0.037)
Rampakakis et al. 2017 Korea,50,0.064 (0.058 - 0.071),0.064 (0.058 - 0.070),0.064 (0.058 - 0.070)
Rampakakis et al. 2017 Korea,60,0.049 (0.045 - 0.054),0.049 (0.045 - 0.053),0.049 (0.045 - 0.053)
Rampakakis et al. 2017 Korea,70,0.038 (0.034 - 0.042),0.038 (0.034 - 0.042),0.038 (0.034 - 0.042)
Rampakakis et al. 2017 Korea,80,0.036 (0.032 - 0.041),0.036 (0.032 - 0.041),0.036 (0.031 - 0.041)
Rampakakis et al. 2017 Korea,90,0.038 (0.032 - 0.045),0.038 (0.032 - 0.045),0.038 (0.032 - 0.044)
