Agp,cluster,mu,std,N,Prop
"[0,30)",0,1,0,2,0.07692307692307693
"[0,30)",1,0.8238713076354109,0.07293438363495812,15,0.5769230769230769
"[0,30)",2,0.18924759125647242,0.17537918288942705,9,0.34615384615384615
"[30,35)",0,1,0,2,0.2
"[30,35)",1,0.8884789471712957,0.08677675259805769,6,0.6
"[30,35)",2,0.07778102617902988,0.29841787392129165,2,0.2
"[35,40)",1,0.8042457799082813,0.11787482213025446,9,0.6428571428571429
"[35,40)",2,0.4240450322715235,0.1008398745955139,5,0.35714285714285715
"[40,45)",0,1,0,2,0.06666666666666667
"[40,45)",1,0.8774251164404651,0.1139742967841908,23,0.7666666666666667
"[40,45)",2,0.33356727912181977,0.24478429735944784,5,0.16666666666666666
"[45,50)",0,1,0,14,0.2857142857142857
"[45,50)",1,0.9013123215955489,0.08889361418917685,34,0.6938775510204082
"[45,50)",2,0.5501072946031798,NA,1,0.02040816326530612
"[50,55)",0,1,0,94,0.12207792207792208
"[50,55)",1,0.8767924836062404,0.09149146544796548,567,0.7363636363636363
"[50,55)",2,0.2963783221652515,0.1675260069505638,109,0.14155844155844155
"[55,60)",0,1,0,145,0.15343915343915343
"[55,60)",1,0.895508045057791,0.08113258664793978,684,0.7238095238095238
"[55,60)",2,0.2617525541476566,0.18008001071135207,116,0.12275132275132275
"[60,65)",0,1,0,105,0.14583333333333334
"[60,65)",1,0.9067216353533998,0.08047394704286213,498,0.6916666666666667
"[60,65)",2,0.2627174424725739,0.22480949827738467,117,0.1625
"[65,70)",0,1,0,101,0.13219895287958114
"[65,70)",1,0.9052012098229941,0.08374622562468162,568,0.743455497382199
"[65,70)",2,0.3379894161223316,0.1591923010963679,95,0.1243455497382199
"[70,75)",0,1,0,57,0.10815939278937381
"[70,75)",1,0.8866767900937044,0.09632106420457243,372,0.7058823529411765
"[70,75)",2,0.27035166632991064,0.22345742841757488,98,0.1859582542694497
"[75,80)",0,1,0,56,0.1432225063938619
"[75,80)",1,0.9008872443055433,0.08522870466387507,280,0.7161125319693095
"[75,80)",2,0.3200911317378887,0.16805744920859866,55,0.14066496163682865
"[80,85)",0,1,0,28,0.11067193675889328
"[80,85)",1,0.9195681025399834,0.07043424826499853,160,0.6324110671936759
"[80,85)",2,0.2985780794040459,0.19261680562072117,65,0.25691699604743085
"[85,90)",0,1,0,15,0.14705882352941177
"[85,90)",1,0.8595486983196113,0.11269555830877932,62,0.6078431372549019
"[85,90)",2,0.15611293865969414,0.27033061002228276,25,0.24509803921568626
"[90,100)",0,1,0,2,0.05263157894736842
"[90,100)",1,0.8783074005895637,0.09766995555378616,25,0.6578947368421053
"[90,100)",2,0.35415585876427413,0.1319922642391226,11,0.2894736842105263
