Model,Var,mean,se_mean,sd,X2.5.,X25.,X50.,X75.,X97.5.,n_eff,Rhat
C1,bg[1],-0.04434831642137602,2.8848763238485756e-4,0.014026902256043545,-0.07179920018582067,-0.05386751394111133,-0.04426846558437253,-0.03466226284270987,-0.01673901816512387,2364.1179609360447,1.0015778828819988
C1,bg[2],-0.0708593735322548,7.312176092882943e-4,0.04683481929367682,-0.16374182374454332,-0.10121117995908857,-0.07098734849313848,-0.03981081552064368,0.02278232934099155,4102.460560545904,0.9983377466391121
C1,bg[3],-0.22539175783024748,6.295991644374815e-4,0.04193410531486257,-0.30505049029413456,-0.2551677381926056,-0.22689753303831867,-0.19703925706516884,-0.14442707627069992,4436.152600494211,0.9989332419087407
C1,bg[4],-0.012261470596589403,2.9523057473783914e-4,0.016775820820330432,-0.04406394219600846,-0.024146052142487384,-0.012512567496615407,-0.0011273999613907178,0.021261116978069927,3228.827873751563,1.0001507649322852
C1,bg[5],0.03271453764156606,6.171460439523441e-4,0.03658126593139086,-0.039982110153201994,0.008471386616732184,0.03236367509286825,0.056878906593284206,0.10405893867050867,3513.5129806437026,1.0003356990157228
C1,bg[6],-0.053348666977532606,4.497744423000749e-4,0.024938544872142705,-0.10261597662528171,-0.07015664715554386,-0.05247414575826129,-0.03683954696124525,-0.00566756394969329,3074.3454913414685,0.9998069919378466
C1,bg[7],0.0932925933725012,4.487874142700784e-4,0.02792820936651989,0.039263596239151426,0.0747584597581882,0.09343655906347655,0.11133027657277308,0.14810754977776844,3872.6196506283877,0.9986308613201466
C1,bg[8],0.033810684256138764,6.82069254949127e-4,0.04067716107585078,-0.045585539333581775,0.005453478477188151,0.034346905705277056,0.06148600312644954,0.11146256986032203,3556.6761533760005,0.9984630779816875
C1,bg[9],0.08348848554004486,1.416699617026655e-4,0.00785176950806118,0.068786349269483,0.07792061632282545,0.08340837489737982,0.08885243097206874,0.09961566410148243,3071.7051894943615,1.0015335400744836
C2,bg[1],-0.0883894228844286,0.0011078532760189336,0.06943130276130052,-0.21960650644074015,-0.13657167368286666,-0.0895656832049134,-0.04249076477406753,0.04602168950357504,3927.7707868860957,0.9990492622511479
C2,bg[2],0.02790145454700305,0.0013905261001832898,0.09710596340056918,-0.16140504601509292,-0.038462070582671794,0.027691233688696824,0.09410279421044124,0.21625343371294783,4876.783911981731,0.9985609285883951
C2,bg[3],-0.0706529838483753,0.0015210925876037642,0.09883571961706035,-0.2632094889899087,-0.13593671581948377,-0.07165989651562,-0.004375247003872706,0.12432457763310228,4221.983749753178,0.9988943761203971
C2,bg[4],-0.1018738013981193,0.0013810355068994166,0.08179631812758195,-0.2685018318520503,-0.1552924610166493,-0.10118607020309003,-0.04472501550434149,0.05496017353442265,3507.9857581219026,0.9999001749408467
C2,bg[5],-0.05979030354711498,0.0012010458759986185,0.0956275461786632,-0.2355192539388012,-0.12735298402109105,-0.06265938215207215,0.0072109864647178674,0.13134230319638807,6339.380666094094,0.9982964123079928
C2,bg[6],-0.11343290798859103,0.0013642093390187132,0.09047785489444667,-0.2879234716461416,-0.17586956680463833,-0.11388898932350354,-0.051868947411745345,0.06091245842859787,4398.68188277464,0.9991373050373239
C2,bg[7],0.05338477638579187,0.0014751381089609461,0.09215470694019295,-0.12609484568004448,-0.011276192919262315,0.05401543741155701,0.11662894195037685,0.23608467466839128,3902.7405350845033,0.9985357146569434
C2,bg[8],0.01222155396760226,0.0015789792033484907,0.09683072904336461,-0.17293352456651429,-0.05436103291462803,0.011027929729167267,0.07829632337656431,0.20343824544673034,3760.742373201266,0.9989292129122835
C2,bg[9],0.23577986399543413,9.12831789043399e-4,0.05427611000157074,0.1306677295096174,0.19931557640512332,0.23622807519862876,0.27336819734665285,0.3391086587054916,3535.378498615317,0.9986630090796994
PZ,bg[1],-0.05607046995395123,0.001492546590647114,0.09211057076580824,-0.23219070837012165,-0.11932508709073938,-0.05510486901095912,0.007308021741675389,0.12123384872336007,3808.5806216978854,0.9995150328794491
PZ,bg[2],0.01041043271704082,0.001730014034096336,0.10252237426586538,-0.18339880329774494,-0.06162481220398924,0.007276029286846319,0.08454674363301164,0.20624978690507495,3511.866983619631,0.9985054125427224
PZ,bg[3],-0.011564125471723528,0.001452871868208001,0.0946648432420287,-0.18995947504053187,-0.07665668796472777,-0.012864604589016568,0.05232651974564466,0.16750276195107774,4245.441010572672,0.998492177224336
PZ,bg[4],-0.011204686039909869,0.0015743597683292737,0.09483546229688572,-0.1989089059018271,-0.0763852361180861,-0.011612749840738288,0.05515739725704993,0.17349540948701161,3628.5537854965137,0.9992566381267379
PZ,bg[5],-0.0025587763501884464,0.001395222855320376,0.0967678176977691,-0.19729337604743816,-0.06763151409636188,-0.002480962586314809,0.06407455943172571,0.1900528992636289,4810.328440158374,0.9986515026951454
PZ,bg[6],0.04491082752309262,0.0016385217658737333,0.09661056725057511,-0.1402274359074023,-0.019297031988043205,0.04485940927340665,0.11131459404135308,0.2352496445995421,3476.520818743528,1.000561500600824
PZ,bg[7],0.022231459234229256,0.0015031619499240537,0.09840034838231793,-0.1676250780395551,-0.045380486794127185,0.025058453239186807,0.08638866002574022,0.21236470211929784,4285.304870827691,0.9984491135605718
PZ,bg[8],0.007135594655539357,0.0016880220088212434,0.10258253278715254,-0.1961009578951244,-0.06221622134705804,0.007106409565844395,0.07513797510766915,0.21088437103351407,3693.096245174922,0.9991759990303478
PZ,bg[9],-0.0018860016189186583,0.001459229963622111,0.09320113071729007,-0.18211837690240937,-0.061344034921291236,-0.0029989198189660114,0.059868843558376156,0.18233963433508635,4079.386786762179,0.999105495570583
PC1,bg[1],8.205006008832586e-4,0.0013478243565479913,0.07064257905488197,-0.13375100256415634,-0.05006661982509497,4.557534223884026e-4,0.049180456974782676,0.14285273842120275,2747.049543772239,1.0003697642488403
PC1,bg[2],-0.02913253142223716,0.00133381521007957,0.09093499478769385,-0.20686071252343277,-0.09226761918658126,-0.029987509116878287,0.0318995965593865,0.14623288470552326,4648.049680642161,0.9990620551941611
PC1,bg[3],-0.05302565324948115,0.001698026225522566,0.0981254100140754,-0.24484491389935006,-0.11938213177260741,-0.0561943305339775,0.012381962074571162,0.14308826157185286,3339.444129162985,0.9992853155978262
PC1,bg[4],0.04820357232132649,0.001355663409429537,0.08494345556964039,-0.12708340524612352,-0.004829722692463094,0.04777925756182623,0.10212237676957432,0.2221482358305695,3926.0524795519605,0.9990074223363075
PC1,bg[5],-0.09142565498080937,0.0015082946299872955,0.09062130916293178,-0.264352535416914,-0.15318849513499705,-0.09011776744721814,-0.03006255480494227,0.08527425898219321,3609.8428364858287,0.9990823132880668
PC1,bg[6],0.06447936576732223,0.0014504235852165163,0.0851605498085795,-0.11252855836471574,0.010377021367233664,0.06525523264561137,0.12148478195331729,0.23564941703838732,3447.3645148581454,0.9983287389157816
PC1,bg[7],0.05130513778546418,0.0012846388711370395,0.08216085480225473,-0.10579243481584193,-0.0051696109738830565,0.051309081594640524,0.10769923545095161,0.2132609479323951,4090.418841122953,0.9987623751734571
PC1,bg[8],-0.0819251319342048,0.0014455271260693982,0.0949033218308678,-0.26323836255756283,-0.14487624500401786,-0.08444107197716914,-0.01926094581232874,0.10274822603134837,4310.328165287469,0.9988026425361376
PC1,bg[9],0.0898838240579671,0.0012366615080450186,0.06997854083362133,-0.04461420899489267,0.04222716211844583,0.08900974106364899,0.1377721130729626,0.22592734635836567,3202.0497735684125,1.0001313402977658
