Age,Index,A,M,L,U
82,QL00,0.04914283091925367,0.04568123382651422,0.016207520314417516,0.10185474241994796
82,QL15,0.049049323100939575,0.04559480326019809,0.016171535863558135,0.10156285897545578
82,QL35,0.04892938995700784,0.04549031196664044,0.016125411158517962,0.10118926763067289
82,QLH00,0.14437541430410367,0.14390622085522528,0.07778031915720524,0.2118282857899488
82,QLH15,0.14409463137727777,0.14365171488244372,0.07761110171226472,0.21134070027822421
82,QLH35,0.14373453440938055,0.14331030405135697,0.07739418120386715,0.21089095855735304
83,LE,7.434203078569672,7.434203078569672,7.434203078569672,7.434203078569672
83,QALE1,5.172363716836064,5.175754727140037,5.120045154452412,5.204884390300811
83,QALE0,5.22080923517753,5.22080923517753,5.22080923517753,5.22080923517753
83,QL00,0.04844551834146508,0.04505450803749288,0.015924844876718188,0.1007640807251177
83,QL15,0.04835214464912873,0.04497908047008882,0.01590151893222427,0.10052223329123582
83,QL35,0.048232390159100406,0.044882995589927796,0.01587156749238272,0.10014523498439337
83,QLH00,0.144999712617738,0.14447746707794523,0.07821340380830856,0.21286599832334782
83,QLH15,0.1447139848951832,0.14421808071580647,0.07803914170836906,0.21246143542896886
83,QLH35,0.14434756748985722,0.1438896982682406,0.07781577580039613,0.21194249577031976
84,LE,6.911744758027272,6.911744758027272,6.911744758027272,6.911744758027272
84,QALE1,4.783470856851729,4.786644998907375,4.731961256951234,4.816128074762806
84,QALE0,4.831182551414194,4.831182551414194,4.831182551414194,4.831182551414194
84,QL00,0.047711694562465816,0.04453755250681969,0.015054476651388453,0.09922129446296041
84,QL15,0.04761868151579808,0.04443737716459917,0.015021435096021916,0.09903017246195843
84,QL35,0.04749939545740384,0.04430898726210399,0.014979079523254201,0.09878503531573433
84,QLH00,0.14552461403212452,0.14479373961566577,0.07851051133135273,0.21373411229493375
84,QLH15,0.14523449080854373,0.14447660903745108,0.07838238456725453,0.21332291150492358
84,QLH35,0.14486245562925534,0.14410549988209723,0.0781894670986388,0.21279548157491157
