Gs,sub,M,L,U,SID,Author,Year,Country,Gname
0,C1,0.7223655457242171,0.7192412732437132,0.7254939195672484,Pooled,NA,NA,NA,Pooled
1,C1,0.7243773527975218,0.7030314673029958,0.7467958563783893,Drolet et al. 2010,Drolet,2010,Canada,Drolet Canada 2010
2,C1,0.7052759349603368,0.634548967882983,0.78115772944417,Rampakakis et al. 2017 Argentina,Rampakakis,2017,Argentina,Rampakakis Argentina 2017
3,C1,0.5330517189526911,0.46349125253945056,0.5982770515810913,Rampakakis et al. 2017 Costa Rica,Rampakakis,2017,Costa,Rampakakis Costa 2017
4,C1,0.7458659446934722,0.7190652811425499,0.7728051778893692,Rampakakis et al. 2017 Korea,Rampakakis,2017,Korea,Rampakakis Korea 2017
5,C1,0.8094232023196049,0.7513869055268193,0.8679418077172676,Rampakakis et al. 2017 Mexico,Rampakakis,2017,Mexico,Rampakakis Mexico 2017
6,C1,0.7240154258518682,0.6842519768222277,0.763664684810886,Rampakakis et al. 2017 Taiwan,Rampakakis,2017,Taiwan,Rampakakis Taiwan 2017
7,C1,0.8489575966638424,0.8057689715045515,0.891766478727144,Rampakakis et al. 2017 Thailand,Rampakakis,2017,Thailand,Rampakakis Thailand 2017
8,C1,0.7759418587982378,0.7138804529203548,0.8393853838575905,Scott et al. 2006,Scott,2006,England,Scott England 2006
9,C1,0.7664176227679487,0.7551137497907775,0.7775030463552189,van Wijck et al. 2016,Wijck,2016,Netherlands,Wijck Netherlands 2016
0,C2,0.06396489065304506,0.05128526495417215,0.07634674451665109,Pooled,NA,NA,NA,Pooled
1,C2,0.015914955079839227,-0.09681963812714253,0.1270393067590743,Drolet et al. 2010,Drolet,2010,Canada,Drolet Canada 2010
2,C2,0.11883083601822245,-0.021617719210200344,0.269171211264783,Rampakakis et al. 2017 Argentina,Rampakakis,2017,Argentina,Rampakakis Argentina 2017
3,C2,-0.009112294236544562,-0.16517299388407217,0.15386587764900056,Rampakakis et al. 2017 Costa Rica,Rampakakis,2017,Costa,Rampakakis Costa 2017
4,C2,-0.06023701118681808,-0.17844755728649003,0.05705262809697029,Rampakakis et al. 2017 Korea,Rampakakis,2017,Korea,Rampakakis Korea 2017
5,C2,0.008383827404397463,-0.1581378844395463,0.1716887059383687,Rampakakis et al. 2017 Mexico,Rampakakis,2017,Mexico,Rampakakis Mexico 2017
6,C2,-0.037670792124650625,-0.18406905458326592,0.11808288216268506,Rampakakis et al. 2017 Taiwan,Rampakakis,2017,Taiwan,Rampakakis Taiwan 2017
7,C2,0.10765615259794545,-0.044327570072639266,0.26678535479941695,Rampakakis et al. 2017 Thailand,Rampakakis,2017,Thailand,Rampakakis Thailand 2017
8,C2,0.06275138501488506,-0.1004149922610139,0.22907574444985435,Scott et al. 2006,Scott,2006,England,Scott England 2006
9,C2,0.24185987110897678,0.16444284971944872,0.3220596403995389,van Wijck et al. 2016,Wijck,2016,Netherlands,Wijck Netherlands 2016
