Age,rate_A,rate_M,rate_L,rate_U,dur_A,dur_M,dur_L,dur_U,QL00_A,QL00_M,QL00_L,QL00_U,QL15_A,QL15_M,QL15_L,QL15_U,QL35_A,QL35_M,QL35_L,QL35_U
50,3.1628509657834893,3.1523390041193737,2.8920299529014253,3.460426503875292,0.3168430875609483,0.3172247655125759,0.288981733030536,0.34577788538187754,0.05031235833423924,0.05027666518037613,0.04533836459763234,0.05533747688907661,0.050108542882646316,0.050075454360553814,0.04516573231504108,0.05508359154057666,0.04983973896778088,0.04981438466860075,0.04493795258950624,0.054749179260801986
51,3.1461975263798214,3.137533403935321,2.893027217960567,3.4274220369282875,0.3184650248155879,0.3187217063037111,0.29176448502418617,0.34565873208232817,0.04992160775768192,0.049883947867092535,0.045160263038841165,0.054660340245266156,0.04971855565403952,0.0496799801122466,0.04499644758489472,0.05442051526151779,0.049450772295361045,0.04941192150248208,0.04478020702170393,0.054104430345090514
52,3.129654338718713,3.123141447167171,2.8840677235818393,3.4049336787730353,0.320097555768345,0.3201904293120972,0.2936914796117368,0.34673250318283294,0.04952279310277183,0.049481106921807884,0.04486771954619349,0.054183287767833835,0.04932055009152272,0.04928089600528864,0.044699549566691026,0.053945065720445315,0.0490538476676247,0.04901906263647703,0.04447532941991703,0.053631158244561494
53,3.113220584096585,3.108734962497284,2.8746397614826567,3.377343123515093,0.32174075834902366,0.3216742540796505,0.2960907326950685,0.34786968022385906,0.049117765974550975,0.04910744192901544,0.04456883297222104,0.053713751875699746,0.04891637001161551,0.0489041602848202,0.044405444924970665,0.0534857979176788,0.048650798622075796,0.04864055680455246,0.04418979623536061,0.05318531604114119
54,3.096895450473449,3.0922658803931595,2.8690973799268775,3.352521823629792,0.32339471111842094,0.3233874577502567,0.29828292073961765,0.34854168327821855,0.04870841581336135,0.04870307388345004,0.044317902625585014,0.05327116733880756,0.04850789672757613,0.048504645044902525,0.04415265042257607,0.0530455342558547,0.0482434957485982,0.04824295386825743,0.04393305060149481,0.05274389034730636
55,3.0806781324147128,3.0763746666743597,2.863624079576179,3.3260193870466286,0.32505949327382555,0.3250579361978767,0.3006597105611868,0.3492078506743065,0.04829667051451026,0.04826696671970332,0.043977931994836836,0.052843070488349055,0.04809704965776314,0.04807205699440914,0.04380855803805821,0.052607005464614755,0.0478338472831019,0.0478116364828718,0.043585093333024884,0.052297625838521725
56,3.0645678310335214,3.0602327157930893,2.8521697263378,3.294442634890485,0.3267351846545672,0.3267725342864058,0.3035414821625969,0.3506102712125436,0.04788449705715831,0.04785095163627432,0.043663385125144824,0.052496090307262606,0.047685786942884646,0.04765458431623128,0.04348964902532209,0.05226878252153662,0.04742379970962582,0.047390480158666495,0.043265619877000484,0.051961426561478806
57,3.0485637539336388,3.0461570472379416,2.8459048164526206,3.271799313175302,0.3284218657476176,0.3282824833830257,0.3056422194965095,0.35138210297197103,0.04747390214256344,0.04743927162293873,0.04337766514256057,0.052020549430140194,0.04727610607225932,0.047238097880914334,0.04320745348862736,0.051791446111845406,0.04701533837100962,0.04697928399502493,0.04298260046945173,0.051483791850874934
58,3.0326651151528488,3.030413376803606,2.835536110277646,3.2518667241933277,0.33011961769324366,0.32998798370367177,0.3075156792397517,0.35266699664137,0.04706693284181034,0.047026916128692184,0.04312529041361574,0.0515162387930071,0.04687004451920845,0.04683142563124455,0.04295546599994345,0.05127914858697743,0.04661048808824166,0.04656522598387149,0.042731512976573495,0.050966826427657194
59,3.0168711351068835,3.014885491341486,2.822908159067565,3.2318914098123175,0.33182852229071214,0.3316875572081093,0.30941633656719963,0.35424461244691335,0.04666567725316053,0.04663812382471802,0.042788997131547477,0.051028487746338676,0.04646968038570464,0.04644367971950084,0.04262547585937336,0.05079129097216151,0.04621131378859595,0.04618585540861205,0.04240229545842476,0.05047888397201472
