Var,mean,se_mean,sd,X2.5.,X25.,X50.,X75.,X97.5.,n_eff,Rhat
r0,5.42684099706463,0.05514112300962091,0.9370297621992082,3.8365590292389946,4.740345898270098,5.332755847938822,6.028207088444499,7.416347721009919,288.77231673242744,1.017885805943612
ba1,-0.011531111680567845,1.5801463709334715e-4,0.002713389767497422,-0.01673492660456041,-0.013421015353042265,-0.011467757441919468,-0.009579692399568844,-0.0063550388134571536,294.8694160125247,1.0171263087409732
lp__,-2585.03089907128,0.04451493126112421,0.9791041997875171,-2587.6179431889523,-2585.495164322863,-2584.731366979484,-2584.3209276436905,-2584.023973616301,483.77833190424644,1.0024920379361184
