Var,mean,se_mean,sd,X2.5.,X25.,X50.,X75.,X97.5.,n_eff,Rhat
r0,4.166076152336765,0.039254546161468146,0.7320881176957422,2.9297714716240164,3.6682480719985455,4.087774146032055,4.601648603687842,5.8263781495899725,347.8137883389199,1.004677919791221
ba1,-0.005215999999063675,1.4516464896333902e-4,0.0027335166631809607,-0.010741551621168691,-0.007020428402368356,-0.0051446756263610815,-0.0033983651152764134,1.846790966608951e-4,354.58610640720883,1.0059713165881994
lp__,-2415.2507002814336,0.04028040712939696,0.896868514267103,-2417.7508528455674,-2415.601901587982,-2414.9892482393734,-2414.6028292525084,-2414.380714667984,495.7581387557593,1.0028671578348125
