Model,Var,mean,se_mean,sd,X2.5.,X25.,X50.,X75.,X97.5.,n_eff,Rhat
C1,b0,0.7380084310163968,4.1947968278861743e-5,0.0018682073231056136,0.7344216063795529,0.7367759083926253,0.7380232670580908,0.739262288009114,0.7417073364547389,1983.4820674790976,1.0025870240292623
C1,lp__,3871.7345532532477,0.08247043963783318,2.3043108408685327,3866.4486522566162,3870.402061488533,3872.008206707981,3873.4755897497107,3875.211362365863,780.7023858401204,1.0060638994010094
C2,b0,0.09622467990059616,1.4026041938156787e-4,0.00787936484185303,0.08084647550357994,0.09097682362470168,0.09626006047457814,0.10156291840384248,0.11160871209484474,3155.81949244405,0.9996172952692689
C2,lp__,119.39619994123866,0.0802763493814946,2.371859483290097,113.94719546841762,118.01353795846853,119.75821801012489,121.14115962863966,123.01547355952478,872.976763429119,1.0002745276948168
PZ,b0,-1.2796510612313254,0.002655872199236642,0.1578873000330322,-1.5925269891546623,-1.381357881845894,-1.279533448103463,-1.177615155665369,-0.9693392405424177,3534.1098981162763,0.9992586868847734
PZ,bd15,-0.7990349107701936,0.008204617554985605,0.4383062731759948,-1.6569894799656124,-1.1031453695065916,-0.7941548200305009,-0.4862156271911691,0.0280094467873398,2853.8995899363867,0.9996094336554265
PZ,bd30,-1.0277572633739227,0.006534425521519827,0.32477817459969716,-1.6719034208654593,-1.228867032623155,-1.022558939141419,-0.8071978796100779,-0.43152890651355785,2470.3520471707006,1.0009639885189394
PZ,lp__,-191.8623243029117,0.09407535874250772,2.410226746279828,-197.4705570337069,-193.21272940686515,-191.58040429459976,-190.11184745722153,-188.12430435147203,656.3931448632466,1.0047606141200784
PC1,b0,2.2608827068487436,0.002218365542611267,0.09531867665866324,2.0767711436079566,2.196158973652192,2.259017051902018,2.322836120923554,2.4490366464734947,1846.2469330450701,0.9992000254021854
PC1,bd15,-0.7568655643993145,0.0022411464366084207,0.1077683953192406,-0.9664496544293907,-0.8252852638064297,-0.7545578169197573,-0.683841942025221,-0.5424692020601506,2312.2903348585655,0.9995327306933509
PC1,bd30,-0.5753004721066911,0.0027816229874454076,0.11684763257692286,-0.7926363733997499,-0.6556959584712165,-0.5771831520694857,-0.4961649009609067,-0.34407770218427364,1764.5879204340213,1.0005372943811415
PC1,ba1,-1.1356133073349588,0.00597358431599825,0.25787659574504784,-1.625698124911129,-1.3089426795678587,-1.1362510141089786,-0.9628912042224019,-0.6179554273577686,1863.6049731133555,0.9991969490939382
PC1,ba2,-1.3374625983606179,0.009873642724648263,0.4316941200688393,-2.17775744432954,-1.6313713909726628,-1.3515424932328446,-1.0626453110970973,-0.48311833710954666,1911.6018847271166,0.998740993949131
PC1,lp__,-1912.6049077933899,0.09518315007597868,2.7312697475681436,-1918.782455895656,-1914.2103715549003,-1912.197402293352,-1910.6423341558057,-1908.4334303213172,823.3965470779027,1.0044259710969936
