Var,mean,se_mean,sd,X2.5.,X25.,X50.,X75.,X97.5.,n_eff,Rhat
r0,8.80618348290861,0.09886995086468969,1.8198160351487709,5.684420629964964,7.543515277496188,8.653570672315631,9.908327953721532,13.091128158602336,338.7866888395511,1.0076596383331535
ba1,-0.015041533139371042,1.6975976442879683e-4,0.0032068679824384405,-0.021563753735625902,-0.017204233710379276,-0.01504422936517386,-0.012935787182091978,-0.008666519207642411,356.85569787373714,1.0083344449838405
lp__,-1349.527701915533,0.039522839927398926,0.9495607196590832,-1352.0148123146964,-1349.8972810829111,-1349.2273220392578,-1348.8528659018202,-1348.603906758559,577.2303996583345,1.005079454974015
