Age,Index,A,M,L,U
50,LE,33.626296841494096,33.626296841494096,33.626296841494096,33.626296841494096
50,QALE1,25.955619690040024,25.957886566902232,25.902999798509384,25.996422205214287
50,QALE0,26.026461184547777,26.026461184547777,26.026461184547777,26.026461184547777
50,QL00,0.07084149450775654,0.06857461764554712,0.03003897933348987,0.12346138603839146
50,QL15,0.07075494572217753,0.0684902692674044,0.03000520477977068,0.12333482037657947
50,QL35,0.07064376616552157,0.0683735956908822,0.02996180670680153,0.12317215500679664
50,QLH00,0.13079726746646878,0.13014509784291867,0.0800484449540529,0.18573585903018314
50,QLH15,0.13063553881880688,0.1299752138940414,0.07995710285653174,0.18547273203239534
50,QLH35,0.13042779076016386,0.12975701744862472,0.07983973862869426,0.18513485702092902
51,LE,32.712053124362264,32.712053124362264,32.712053124362264,32.712053124362264
51,QALE1,25.199758244662362,25.20218808062527,25.146727589453224,25.24035516808118
51,QALE0,25.270277208773724,25.270277208773724,25.270277208773724,25.270277208773724
51,QL00,0.07051896411136191,0.06808912814845522,0.029922040692543228,0.12354961932049977
51,QL15,0.07043134463523185,0.06800046287748654,0.029889335258576413,0.12342022075432138
51,QL35,0.07031879452689863,0.06788658024881171,0.02984730802892443,0.12325392284103771
51,QLH00,0.13159596489029532,0.1310629655638903,0.08085762422356534,0.18661213116531958
51,QLH15,0.13143061532692582,0.13090252545121106,0.08076268473540499,0.18634387447650397
51,QLH35,0.13121822490093452,0.1306964172841334,0.08064070747970514,0.18599942857388166
52,LE,31.801942906083454,31.801942906083454,31.801942906083454,31.801942906083454
52,QALE1,24.44935376029038,24.45188036060603,24.39589171697177,24.490085563527664
52,QALE0,24.51960478953808,24.51960478953808,24.51960478953808,24.51960478953808
52,QL00,0.07025102924769872,0.0677244289320472,0.029519226010413843,0.12371307256630268
52,QL15,0.0701622760462233,0.06763924520252498,0.02948306926864538,0.12358131509208674
52,QL35,0.07004827460505161,0.06752982395364097,0.029436620961798658,0.12341199237747907
52,QLH00,0.13240027383790937,0.13175577603891117,0.08164426541909424,0.1874867965912112
52,QLH15,0.13223122319905686,0.13158978254199005,0.08154264264080151,0.1872139342600799
52,QLH35,0.1320140880422035,0.13137655803183854,0.08141209979122899,0.18686358892131885
53,LE,30.896162297818766,30.896162297818766,30.896162297818766,30.896162297818766
53,QALE1,23.704369430192376,23.70687325169429,23.65048513104488,23.74540736364258
53,QALE0,23.77439421034208,23.77439421034208,23.77439421034208,23.77439421034208
53,QL00,0.07002478014970438,0.06752095864779051,0.028986846699504753,0.12390907929720264
53,QL15,0.06993484079821395,0.06742828633641285,0.028953451560491547,0.123773147554733
53,QL35,0.06981932087983703,0.06730525790972339,0.028910543708504446,0.12359847374278986
53,QLH00,0.13321013879780266,0.1326649104516919,0.08208718559259763,0.18836502998684912
53,QLH15,0.1330373068769367,0.13250089571720158,0.0819834774627968,0.18808750441636907
53,QLH35,0.132815324592349,0.13229020735821584,0.08185026148793911,0.18773118626061938
54,LE,29.99508910118338,29.99508910118338,29.99508910118338,29.99508910118338
54,QALE1,22.964939872823724,22.967572518156285,22.910973693396684,23.00620820848153
54,QALE0,23.03477050096409,23.03477050096409,23.03477050096409,23.03477050096409
54,QL00,0.06983062814036589,0.06719798280780369,0.028562292482554517,0.12379680756740614
54,QL15,0.06973946146617595,0.06710098273529869,0.028528525476440865,0.12362838768419614
54,QL35,0.06962237037457204,0.06697389918040095,0.028485142753547923,0.12341209625346501
54,QLH00,0.1340255362055579,0.13346993049633715,0.08253227526090082,0.1892565429042136
54,QLH15,0.13384884215943774,0.13328304151036435,0.08242644963486782,0.18897447542163906
54,QLH35,0.13362190956198564,0.13305421954336805,0.08229051952227877,0.18861234006493263
55,LE,29.099166635530345,29.099166635530345,29.099166635530345,29.099166635530345
55,QALE1,22.23128422026175,22.234045273899657,22.17742698581957,22.272686099517504
55,QALE0,22.300943162193782,22.300943162193782,22.300943162193782,22.300943162193782
55,QL00,0.06965894193203541,0.06689788829412549,0.028257062676280538,0.12351617637421422
55,QL15,0.0695665215901506,0.06680742560390507,0.02821719449610599,0.12337072152971341
55,QL35,0.06944782568047031,0.0666912481607579,0.028172748278400467,0.12318384422638688
55,QLH00,0.1348465080911931,0.1344015811696858,0.08297954620045453,0.19042373157725265
55,QLH15,0.1346658695463159,0.1342250461139538,0.08287157057114719,0.19016597483273595
55,QLH35,0.13443388150731092,0.13399831032273266,0.08273288484593354,0.18983494734619916
56,LE,28.20868403041001,28.20868403041001,28.20868403041001,28.20868403041001
56,QALE1,21.503540047558392,21.5063602977538,21.449489015318623,21.54464477656641
56,QALE0,21.57303758651046,21.57303758651046,21.57303758651046,21.57303758651046
56,QL00,0.06949753895206974,0.06667728875665997,0.028392809944049777,0.12354857119183404
56,QL15,0.06940385415362357,0.06658546179396713,0.02835712512123204,0.12338402270365766
56,QL35,0.06928353975443217,0.0664675388091909,0.028311286339116903,0.12317268845323233
56,QLH00,0.1356729584612616,0.13527149881251604,0.08342892786045834,0.1917451168560695
56,QLH15,0.13548829393099796,0.13510276542393743,0.08331877080299273,0.19147913523474178
56,QLH35,0.13525114647512643,0.13488259830709393,0.08317728937833624,0.19113757094832437
57,LE,27.3240818251823,27.3240818251823,27.3240818251823,27.3240818251823
57,QALE1,20.78199392518908,20.784867395793416,20.72800707178524,20.822795327611278
57,QALE0,20.851329139608456,20.851329139608456,20.851329139608456,20.851329139608456
