Age,rate_A,rate_M,rate_L,rate_U,dur_A,dur_M,dur_L,dur_U,QL00_A,QL00_M,QL00_L,QL00_U,QL15_A,QL15_M,QL15_L,QL15_U,QL35_A,QL35_M,QL35_L,QL35_U
50,3.0097883671354504,3.006176197495287,2.726153836642958,3.273021919510276,0.3329772506562184,0.3326484991418865,0.30552804990781574,0.3668172358239513,0.09507498353465471,0.09481347434287635,0.08601747654978809,0.10573751021989877,0.09464703435549815,0.09438662800071874,0.08566166077534358,0.10523539483879796,0.09408298190022632,0.093826245807394,0.08519225199592773,0.10457389753210594
51,2.975005196784111,2.9713398663602333,2.708402088125245,3.2268594089094553,0.336812073492575,0.33654850840974015,0.3098988439829871,0.36922139658166714,0.09608042497852337,0.09588042402417642,0.08728812501821874,0.10655822204930081,0.09564267699830599,0.0954395224874888,0.08691689758537158,0.10604463642296379,0.09506578429320031,0.09486238485558911,0.08642731272172731,0.10537244330944448
52,2.9406456483418197,2.9376247753027296,2.6905338103700847,3.1752577686678576,0.34069359984231035,0.3404110723981806,0.3149350616113145,0.3716734647848079,0.09709786841160589,0.09696009530792746,0.08835341108719962,0.10733297833602087,0.09665008338736036,0.09651651274360777,0.0879684282143495,0.10677716164374652,0.09606004094072787,0.09592538967445366,0.08746706916617816,0.10608605504652718
53,2.9067043342051306,2.903881942430446,2.6688925569310435,3.1282854172865706,0.344622425259439,0.34436661726295625,0.31966392781061076,0.3746872474100835,0.09812746900219682,0.09797735572334468,0.08958852376672692,0.10813233252343109,0.0976694026413677,0.09752133795421979,0.0892019065737453,0.10760636556636564,0.09706589320470597,0.09690862177895196,0.0886921998876742,0.10691360684882804
54,2.8731759378544384,2.8698916783936115,2.649400575417023,3.082496044960169,0.34859915319349377,0.34844520758001607,0.32441242618167976,0.3774438676261104,0.09916938393355265,0.09901529332553477,0.09049440254808606,0.10903270382245533,0.09870078573648026,0.0985533895962441,0.09009904772125389,0.10848589169616735,0.09808348410644312,0.09794636961241115,0.08957788627833622,0.1077658903556775
55,2.8400552128858,2.8364061179450015,2.628433156523578,3.0405473302823762,0.35262439509777443,0.3525588239956384,0.32888815558844375,0.38045479609448896,0.10022377242687855,0.10012474492377582,0.09174750341649002,0.10989245138489065,0.09974438552532787,0.0996446119501837,0.0913303325176033,0.10931678447574782,0.09911295834086921,0.09900845111070651,0.09078056045511723,0.10858977217118464
56,2.807336982056314,2.803990014965131,2.607157742973006,2.996404544026693,0.35669877053912563,0.3566346508626145,0.3337333127119686,0.3835594618577529,0.10129079576398611,0.10118531340155107,0.09285456673782354,0.11074682504286562,0.10080035675565858,0.10069098382894331,0.09244402652321485,0.1101919333088084,0.10015446229028528,0.10002869812029654,0.09190274882213705,0.10946136869621521
57,2.7750161363428623,2.7723261109717345,2.581601823392628,2.961025401505496,0.36082290730926453,0.36070792570653387,0.33772084946465897,0.3873564051470061,0.10237061730953137,0.10232893923820191,0.09391931693894887,0.11166450006423534,0.10186885608850232,0.101821508887212,0.09349857787450644,0.11108304178524747,0.10120814403757308,0.10114268571001395,0.09294393113587228,0.1103179002311924
58,2.7430876340140293,2.741027803743289,2.5563395317099955,2.9249874959626294,0.3649974415376824,0.3648266565751761,0.3418818044572549,0.39118434325506163,0.10346340253273259,0.10335160655324852,0.09509427898612527,0.11264163224433259,0.10295004211576199,0.10283717114615823,0.09466872181825256,0.1120412457858926,0.10227415337877571,0.10217259555759506,0.09410387760290455,0.11125137461042262
59,2.7115464997150007,2.7101603295709307,2.534643151961527,2.8881711711675995,0.3692230178061409,0.36898186117775483,0.34623987382714244,0.3945328554388467,0.10456931902845654,0.10447920493345503,0.09643456466451282,0.11361525924758083,0.10404407537712722,0.10394662312743316,0.09598303226933289,0.11300722460361017,0.10335264183495216,0.1032628327789158,0.0953857558365151,0.11220736481085122
