Age,Index,A,M,L,U,ValueSet
50,LE,33.626296841494096,33.626296841494096,33.626296841494096,33.626296841494096,orig
50,QALE1,25.96029893768569,25.96216968099469,25.90526173228953,26.00170755759103,orig
50,QALE0,26.026461184547774,26.026461184547774,26.026461184547774,26.026461184547774,orig
50,QL00,0.06616224686208484,0.06429150355308583,0.02475362695674465,0.12119945225824097,orig
50,QL15,0.0660777550088711,0.06420262716541217,0.024719248561492515,0.12106757781933412,orig
50,QL35,0.0659692305288823,0.0640935849263204,0.024675101298739593,0.12089768666061394,orig
50,QLH00,0.12569670097824215,0.12633638635181227,0.06260045348630207,0.1840618990753998,orig
50,QLH15,0.12553417005259196,0.12617339906485586,0.06250941357459615,0.1838265045186839,orig
50,QLH35,0.12532541651404097,0.12595941055846327,0.06239252141195939,0.18352414453038166,orig
51,LE,32.712053124362264,32.712053124362264,32.712053124362264,32.712053124362264,orig
51,QALE1,25.204431518703394,25.206466959321357,25.149113152196648,25.245611320020878,orig
51,QALE0,25.27027720877372,25.27027720877372,25.27027720877372,25.27027720877372,orig
51,QL00,0.0658456900703226,0.06381024945236172,0.024665888752843056,0.12116405657707274,orig
51,QL15,0.06576017438129919,0.06371916621673121,0.024636068678573715,0.12098647208157289,orig
51,QL35,0.06565033994347856,0.06360221153754436,0.02459775978322473,0.12079998234503643,orig
51,QLH00,0.12645915634526647,0.12707060550369126,0.06280741651178419,0.1850502726371925,orig
51,QLH15,0.12629300466221502,0.12691962630064307,0.06271528314595194,0.1848446979522632,orig
51,QLH35,0.1260796102322559,0.12672518266815355,0.06259699042396782,0.18458054000275712,orig
52,LE,31.801942906083454,31.801942906083454,31.801942906083454,31.801942906083454,orig
52,QALE1,24.45402212097322,24.456308884586626,24.398319147515778,24.495372321641327,orig
52,QALE0,24.519604789538075,24.519604789538075,24.519604789538075,24.519604789538075,orig
52,QL00,0.06558266856485226,0.06329590495144713,0.024232467896746965,0.12128564202229647,orig
52,QL15,0.06549606737212348,0.06321320346615265,0.024201240882885104,0.12110405850966824,orig
52,QL35,0.06538484394085714,0.06310698198363006,0.02416113135209139,0.12087093437692571,orig
52,QLH00,0.12722666985379544,0.12777391260334564,0.0632879659000407,0.18635616182806103,orig
52,QLH15,0.1270568224062916,0.12761540844329694,0.06321802259376227,0.18611086368632648,orig
52,QLH35,0.12683869135227693,0.12740204049681952,0.06312814629566324,0.18579581001258683,orig
53,LE,30.896162297818766,30.896162297818766,30.896162297818766,30.896162297818766,orig
53,QALE1,23.709033419878434,23.71146220884632,23.65293825416599,23.75042602514043,orig
53,QALE0,23.774394210342077,23.774394210342077,23.774394210342077,23.774394210342077,orig
53,QL00,0.06536079046364486,0.06293200149575968,0.023968185201644465,0.12145595617609171,orig
53,QL15,0.06527305372745343,0.06284505356822591,0.023933468063578503,0.12127022822614696,orig
53,QL35,0.06516037720513121,0.06273339790198869,0.02388889185097384,0.12103180061770952,orig
53,QLH00,0.12799917911723174,0.12860564433143723,0.06394904704360478,0.1875179237541228,orig
53,QLH15,0.12782556108035742,0.12844367736754558,0.06387624583471575,0.18726552928940957,orig
53,QLH35,0.12760259792782358,0.12823731220022228,0.06378270422132615,0.18694138293952725,orig
54,LE,29.99508910118338,29.99508910118338,29.99508910118338,29.99508910118338,orig
54,QALE1,22.969600269321898,22.972259758307537,22.91331798745874,23.010871243543875,orig
54,QALE0,23.034770500964086,23.034770500964086,23.034770500964086,23.034770500964086,orig
54,QL00,0.06517023164218674,0.06251074265654616,0.023899257420208927,0.1214525135053468,orig
54,QL15,0.0650813225069878,0.06242428610988205,0.02386690189708459,0.1213026057333593,orig
54,QL35,0.0649671457308115,0.062313265890113115,0.023825348922488707,0.12111003223642373,orig
