Age,rate_A,rate_M,rate_L,rate_U,dur_A,dur_M,dur_L,dur_U,QL00_A,QL00_M,QL00_L,QL00_U,QL15_A,QL15_M,QL15_L,QL15_U,QL35_A,QL35_M,QL35_L,QL35_U
50,4.067383577933472,4.062650250683622,3.636937391008267,4.535855113757666,0.24665993372608608,0.24614474273392545,0.22046560259381306,0.2749566298478848,0.05681219430765271,0.05701796064308158,0.04370890291563061,0.0688615312793587,0.05662987891827021,0.0568384123449021,0.04357451271422973,0.06860033119610259,0.05638884900352176,0.056595107807300024,0.043397409892722845,0.06826813689293099
51,4.006640094404077,4.002046273272217,3.591316593955456,4.445101102086057,0.2503382109039091,0.24987217331294237,0.2249667639576353,0.27844941379375043,0.05795356646289442,0.05802454405450305,0.04523356492023277,0.0700430963074793,0.05776519526704184,0.05781986525967074,0.045076957207281436,0.0698077976149153,0.05751619278486359,0.05755157026422613,0.0448698674573333,0.06949678989155594
52,3.9468494482149894,3.9477642498496825,3.5467053974021807,4.355615928892301,0.25407422483459335,0.25330793251110173,0.2295886674929289,0.28195182304639704,0.05860360694370116,0.05871257285617092,0.04545018169196386,0.07102394868541219,0.05840980321282068,0.05852945803875256,0.04529283755690078,0.07078172041542312,0.058153652253485934,0.05828686512198186,0.04508494636476503,0.070461587284535665
53,3.887996004376881,3.8902797907250903,3.5068795770871395,4.277855229363941,0.2578689252548878,0.2570509225808014,0.2337620015670089,0.2851537904815836,0.05926131687217401,0.05922713891122653,0.045239057938572365,0.07208194695011798,0.05906205133528564,0.059032067919604456,0.04506861803589926,0.07182948269751427,0.058798716038970855,0.058761598385650204,0.044880704187142066,0.07146656157034946
54,3.830064395512383,3.834547148838249,3.461466596645958,4.196079651058427,0.2617232782233986,0.26078699430733054,0.23831770508739628,0.28889488872269464,0.05973044272980781,0.06004119900690963,0.0461802136400262,0.07289937039647065,0.05952575822295775,0.05983501707043773,0.046012771270093525,0.07260931537421837,0.059255298444414656,0.05956256145807799,0.04579195356482362,0.07224253798043848
55,3.773039517086707,3.7759305743381804,3.412780250394551,4.127792351186654,0.26563826641309235,0.2648353782236034,0.24226024886485417,0.29301624190096137,0.060645991896485785,0.061114492059857764,0.04659745536185245,0.07404798120421378,0.06043532891625387,0.0609138620719398,0.046442102049869156,0.0737494621931636,0.06015700409610856,0.06062688787903085,0.04623685110635145,0.07335548387011663
56,3.7169065227266724,3.721237193674898,3.363045006666448,4.06139768227291,0.2696148894092608,0.2687278310840826,0.2462206586789273,0.2973495827402668,0.061407100173768575,0.06160811357342627,0.04847354348013871,0.07351241797203953,0.06119060932721997,0.06136572994389296,0.04829530397032693,0.07323566657594635,0.060904624611743716,0.06106753695243855,0.048084229102220086,0.07287023254570003
57,3.6616508196264492,3.6675397710475393,3.3241531886471294,3.9847041263170278,0.27365416401305176,0.27266234767649544,0.25095966414580984,0.3008284959727655,0.06204452657277334,0.06193571234285747,0.04716991922936364,0.07482793023879294,0.061822147097531095,0.061732422838043526,0.04697794801152454,0.07455369923113522,0.06152842467379333,0.061463829688966846,0.04672452005028353,0.07420351265688824
58,3.60725806403834,3.612685873430072,3.287891864422364,3.9088735043459155,0.277757124550676,0.2768023668470294,0.25582819029783427,0.3041462561161018,0.06281405338677679,0.0629184838892162,0.049198421193425025,0.07528279627754296,0.06258535013689699,0.06267892855584756,0.048998850665062196,0.07498344742785955,0.062283324207836756,0.06237312563580842,0.04873534899707561,0.07458830869487536
59,3.553714156846961,3.558278819436808,3.2410534608624353,3.845335862734627,0.2819248231883997,0.28103475057895827,0.2600553077287445,0.3085416556402733,0.06352448092626661,0.06360949105904512,0.049701135537053895,0.07743964456698497,0.06328916907803968,0.06337980731330013,0.04949884494193914,0.07711800688237452,0.06297845973140449,0.06308662311113952,0.04923171299687886,0.07669325024242518
60,3.5010052392252318,3.505486937202509,3.202510302123615,3.7880519058688997,0.28615833025343496,0.2852670735677436,0.26398794052573277,0.3122551049837595,0.0641905514105662,0.06434265546717352,0.05013811985317993,0.07806649636551695,0.06394888413101119,0.06411104533100154,0.049930578258023425,0.07774628993465368,0.0636298278817951,0.06380667198121898,0.049656553556025544,0.07732382664345493
61,3.4491176883705843,3.451826870364525,3.1585489083546086,3.736523980377097,0.2904587345608447,0.2897016681490022,0.26762841816440025,0.3166011478691826,0.06491247582063173,0.06489414791705801,0.05050848424301858,0.0780871318626899,0.06466417924728261,0.06464213813352926,0.05031764574027317,0.07777293735577907,0.06433641859179254,0.06430980235738101,0.050065681252342197,0.07736651705286623
62,3.398038113319866,3.4008989192160235,3.1071583921976713,3.6846128501754682,0.294827143746578,0.29403990892584864,0.27139893699273565,0.32183750115773957,0.06549823724129689,0.065748889587948,0.05133817214914975,0.08006632617995986,0.06524375484709849,0.06550285122704572,0.051142772746959594,0.07973861835182847,0.06490788478953777,0.06517532503331935,0.05088477878070722,0.07930630816458452
63,3.3477533508414195,3.348056400495528,3.056159696688958,3.6372901481765494,0.2992646846067559,0.2986807509739259,0.27492995140600274,0.32720803206809995,0.06620661490301975,0.06616446084561917,0.052198055392519545,0.0807494908843524,0.06594471358781794,0.0659260302241364,0.05199377412080839,0.08040928710119866,0.06559910355082307,0.06558283614559356,0.05172758310472814,0.07997200245612897
64,3.298250461402862,3.301736764989672,3.011647198529261,3.594075152272857,0.3037725034433308,0.3028709055429514,0.27823570755072086,0.3320442195857743,0.06701818120934781,0.06700465640820505,0.05203463521560004,0.08056748299614512,0.06674917136857512,0.0667384497318578,0.05181226485177999,0.08022375731300826,0.06639423456467483,0.06638717397081745,0.05152111563088101,0.07977049871651466
65,3.249516725213115,3.249463614711149,2.9649928610181133,3.5409222074820805,0.30835176641624246,0.30774309813981876,0.28241231370410924,0.33726894028591065,0.06745159603962927,0.06753692465158366,0.051982697069676946,0.08262187071917515,0.0671760897205357,0.06726751728937751,0.051759069830605305,0.08228738065547907,0.06681264256733363,0.06692539235850586,0.05146397301244897,0.08184615553153983
