Agp,cluster,mu,std,N,Prop
"[0,30)",0,1,0,2,0.07692307692307693
"[0,30)",1,0.8238713076354109,0.07293438363495812,15,0.5769230769230769
"[0,30)",2,0.18924759125647242,0.17537918288942705,9,0.34615384615384615
"[30,35)",0,1,0,2,0.2
"[30,35)",1,0.8884789471712957,0.08677675259805769,6,0.6
"[30,35)",2,0.07778102617902988,0.29841787392129165,2,0.2
"[35,40)",1,0.8042457799082813,0.11787482213025446,9,0.6428571428571429
"[35,40)",2,0.4240450322715235,0.1008398745955139,5,0.35714285714285715
"[40,45)",0,1,0,2,0.06666666666666667
"[40,45)",1,0.8774251164404651,0.1139742967841908,23,0.7666666666666667
"[40,45)",2,0.33356727912181977,0.24478429735944784,5,0.16666666666666666
"[45,50)",0,1,0,14,0.2857142857142857
"[45,50)",1,0.9013123215955489,0.08889361418917685,34,0.6938775510204082
"[45,50)",2,0.5501072946031798,NA,1,0.02040816326530612
"[50,55)",0,1,0,95,0.12242268041237113
"[50,55)",1,0.8662516781956158,0.09180787213954941,569,0.7332474226804123
"[50,55)",2,0.28007166061346017,0.1681874349321409,112,0.14432989690721648
"[55,60)",0,1,0,146,0.15352260778128285
"[55,60)",1,0.8812364116804103,0.0809262134469601,685,0.7202944269190326
"[55,60)",2,0.23590507278809453,0.18124749529942083,120,0.12618296529968454
"[60,65)",0,1,0,104,0.1440443213296399
"[60,65)",1,0.8858663655148904,0.08469182978878823,501,0.6939058171745153
"[60,65)",2,0.22440834522565864,0.20726311020734364,117,0.16204986149584488
"[65,70)",0,1,0,105,0.13530927835051546
"[65,70)",1,0.8899089272600617,0.08083373592991329,574,0.7396907216494846
"[65,70)",2,0.29713591232140063,0.15319969119864515,97,0.125
"[70,75)",0,1,0,57,0.10070671378091872
"[70,75)",1,0.8826090712921612,0.08705512019801498,406,0.7173144876325088
"[70,75)",2,0.23793952048119368,0.2089396808720451,103,0.18197879858657243
"[75,80)",0,1,0,59,0.1359447004608295
"[75,80)",1,0.9002855422296832,0.08365837558361056,319,0.7350230414746544
"[75,80)",2,0.2727580803583969,0.15840440229574387,56,0.12903225806451613
"[80,85)",0,1,0,30,0.10676156583629894
"[80,85)",1,0.9175111693787668,0.06633270551117762,186,0.6619217081850534
"[80,85)",2,0.25579346401943054,0.1593223145604413,65,0.2313167259786477
"[85,90)",0,1,0,13,0.11711711711711711
"[85,90)",1,0.8701232625360426,0.11054799992974325,73,0.6576576576576577
"[85,90)",2,0.12223293865969415,0.24061896725138152,25,0.22522522522522523
"[90,100)",0,1,0,2,0.05128205128205128
"[90,100)",1,0.8816822731550653,0.09723156532130492,26,0.6666666666666666
"[90,100)",2,0.34933767694609236,0.13046532195542876,11,0.28205128205128205
