Agp,Cluster,mu,std,N,Prop
"[0,30)",0,1,0,4,0.05405405405405406
"[0,30)",1,0.059222222222222225,0.1544506605228599,18,0.24324324324324326
"[0,30)",2,0.7553461538461539,0.08961089845644862,52,0.7027027027027027
"[30,35)",0,1,0,6,0.13636363636363635
"[30,35)",1,-0.09599999999999999,0.29213923620995064,4,0.09090909090909091
"[30,35)",2,0.7824705882352941,0.07038432818596019,34,0.7727272727272727
"[35,40)",1,0.2102,0.06328910736541565,10,0.22727272727272727
"[35,40)",2,0.7135294117647059,0.11138636968300318,34,0.7727272727272727
"[40,45)",0,1,0,2,0.02857142857142857
"[40,45)",1,0.124,0.18276639613330334,10,0.14285714285714285
"[40,45)",2,0.7259310344827586,0.11887393618524723,58,0.8285714285714286
"[45,50)",0,1,0,28,0.2545454545454545
"[45,50)",1,0.362,0,2,0.01818181818181818
"[45,50)",2,0.721675,0.10091364587631661,80,0.7272727272727273
"[50,55)",0,1,0,198,0.11633372502937721
"[50,55)",1,0.10644796380090497,0.1677377099085966,221,0.1298472385428907
"[50,55)",2,0.7312564302416212,0.09258448363703181,1283,0.7538190364277321
"[55,60)",0,1,0,282,0.13729308666017526
"[55,60)",1,0.06840350877192983,0.1759294622013427,228,0.11100292112950341
"[55,60)",2,0.7381981865284974,0.08822779299914431,1544,0.7517039922103214
"[60,65)",0,1,0,246,0.14783653846153846
"[60,65)",1,0.059699570815450645,0.2261570915158719,233,0.14002403846153846
"[60,65)",2,0.7442683544303798,0.08992512211411859,1185,0.7121394230769231
"[65,70)",0,1,0,234,0.1352601156069364
"[65,70)",1,0.12923684210526315,0.1607708669235524,190,0.10982658959537572
"[65,70)",2,0.7335275650842267,0.09300221851948248,1306,0.7549132947976879
"[70,75)",0,1,0,128,0.0962406015037594
"[70,75)",1,0.05771,0.22472123635818614,200,0.15037593984962405
"[70,75)",2,0.7232365269461077,0.10324352627354598,1002,0.7533834586466165
"[75,80)",0,1,0,136,0.13076923076923078
"[75,80)",1,0.08735398230088495,0.18008697900270612,113,0.10865384615384616
"[75,80)",2,0.7329279393173198,0.09467820844901588,791,0.760576923076923
"[80,85)",0,1,0,48,0.07453416149068323
"[80,85)",1,0.08650735294117648,0.19097752422824155,136,0.2111801242236025
"[80,85)",2,0.7429869565217392,0.080393340234846275,460,0.7142857142857143
"[85,90)",0,1,0,26,0.0962962962962963
"[85,90)",1,-0.03305172413793102,0.2904799671453518,58,0.21481481481481482
"[85,90)",2,0.7121075268817204,0.10422444205376297,186,0.6888888888888889
"[90,100)",0,1,0,8,0.08163265306122448
"[90,100)",1,0.13062500000000002,0.10639132544730694,24,0.24489795918367346
"[90,100)",2,0.7170757575757576,0.09267018616180397,66,0.673469387755102
All,0,1,0,1346,0.12378149714916314
All,1,0.08067035245335176,0.19815123343716437,1447,0.1330697075593158
All,2,0.7343010765994308,0.09327481386241687,8081,0.7431487952915211
