Agp,Var,mean,se_mean,sd,X2.5.,X25.,X50.,X75.,X97.5.,n_eff,Rhat
"[0,30)",b0,1.232425716960888,0.015347950905419839,0.24464145974110707,0.7373087077523708,1.0775254070750497,1.2378536436697343,1.3959513793975602,1.6664116665023168,254.07346840334824,0.9987819722157608
"[0,30)",bt,6.921413256771412,0.08365877689602644,1.291589274272805,4.7040693521944,6.026628905358463,6.8513247888079025,7.771698560455007,9.611179114194448,238.3558624510738,0.9995034243650076
"[0,30)",sigma,1.5979104349946742,0.016160917926595752,0.23962634812936545,1.1952051330349795,1.423674091230896,1.5751286632818042,1.7443577986061043,2.1523655690032655,219.85537569052312,0.9982484408714152
"[0,30)",lp__,-85.02776508877409,0.0748223698837496,1.1041693233141683,-87.68009209133388,-85.61967563319907,-84.81144201078357,-84.16701331598024,-83.68829172235215,217.77520684465745,0.9994487339600824
"[30,35)",b0,1.6704384297699444,0.014240075523679932,0.22644767888110093,1.2285844058403326,1.5321215998953759,1.6667002640797843,1.8221606308195284,2.149000773737521,252.8780661676671,1.010916170234699
"[30,35)",bt,3.381963831062821,0.062351400058328336,1.0032485104534563,1.5861880849563408,2.680017195796239,3.333938320646652,3.9853248514729733,5.474538217881726,258.89557509879677,1.0024383342679657
"[30,35)",sigma,1.1994842234674044,0.013714485024247781,0.20427832282055475,0.8879470071571323,1.055779736093879,1.1747610621451499,1.30909113566445,1.700841902346806,221.8633457035462,1.0051976432191736
"[30,35)",lp__,-53.91504638401163,0.08239308978446337,1.1813011917593925,-57.07811333626759,-54.492751981006776,-53.65440102094369,-53.02537026386475,-52.50659783459092,205.56051891068648,0.9980080898460806
"[35,40)",b0,1.3271008889223888,0.020196709217095512,0.23918852190598403,0.8306544715243963,1.1960433700431512,1.3480651985519043,1.4818419063936972,1.739129146419706,140.25535268441976,0.9982772229963495
"[35,40)",bt,5.099298896098801,0.11392840651646623,1.309786344034769,3.053889393582272,4.151159500357695,4.9590499597987066,5.772520015328741,8.259267511509533,132.17121127851544,0.9980150247588179
"[35,40)",sigma,1.1790257767535144,0.017853764849303268,0.2078316103259095,0.8439653186375039,1.0332420721518856,1.1420825603466764,1.3135089929784531,1.6572837417994013,135.50757845915825,0.9993601615019677
"[35,40)",lp__,-60.51318824122272,0.11773142888321199,1.2766214154699302,-63.76945870520976,-61.172643926598546,-60.226479775223396,-59.58112214801004,-59.01424245830746,117.5816150012029,1.0090859999658288
"[40,45)",b0,1.0439000646053371,0.013586934894116796,0.2353174407718325,0.6121084856698653,0.8681270583421172,1.0446768797461945,1.1899932464614813,1.5169654994953001,299.9613118743783,1.0064501661748233
"[40,45)",bt,5.374478693563169,0.06934886054159871,1.2038028618793153,3.349033795496915,4.531296705372354,5.272067331742237,6.127015683035297,7.915553335469104,301.3228619050594,0.9995682328791762
"[40,45)",sigma,1.2288422173689897,0.01344599709771396,0.20562348657791119,0.9181042352916369,1.0829619205971843,1.1995507120382018,1.332571015794493,1.77195961055234,233.86186636448335,0.9998348835753319
"[40,45)",lp__,-56.02942324342815,0.08198376831263376,1.1196005651038745,-58.8324323326091,-56.556450232286565,-55.769574594418685,-55.20394352159674,-54.7248583975212,186.49640527450586,0.9984827931239543
