Age,norm,Country,Source,norm_leoss
0,0.8983653442571508,UK,McNamara et al.,0.8967289643453845
1,0.8983653442571508,UK,McNamara et al.,0.8972412742288971
2,0.8983653442571508,UK,McNamara et al.,0.8976753728271636
3,0.8983653442571508,UK,McNamara et al.,0.8980308890489502
4,0.8983653442571508,UK,McNamara et al.,0.8983074518030245
5,0.8983653442571508,UK,McNamara et al.,0.8985046899981526
6,0.8983653442571508,UK,McNamara et al.,0.8986222325431015
7,0.8983653442571508,UK,McNamara et al.,0.8986597083466383
8,0.8983653442571508,UK,McNamara et al.,0.8986167463175291
9,0.8983653442571508,UK,McNamara et al.,0.8984929753645412
10,0.8983653442571508,UK,McNamara et al.,0.898288024396441
11,0.8983653442571508,UK,McNamara et al.,0.8980015223219958
12,0.8983653442571508,UK,McNamara et al.,0.8976330980499718
13,0.8983653442571508,UK,McNamara et al.,0.8971793700347102
14,0.8983653442571508,UK,McNamara et al.,0.896638173369302
15,0.8983653442571508,UK,McNamara et al.,0.8960109619206396
16,0.8983653442571508,UK,McNamara et al.,0.8952991895556156
17,0.8983653442571508,UK,McNamara et al.,0.8945043101411224
18,0.8942223114695699,UK,McNamara et al.,0.8936277775440521
19,0.8942223114695699,UK,McNamara et al.,0.8926710456312972
20,0.8770606569713967,UK,McNamara et al.,0.8916355682697503
21,0.8770606569713967,UK,McNamara et al.,0.8905227993263035
22,0.8770606569713967,UK,McNamara et al.,0.8893341926678493
23,0.8770606569713967,UK,McNamara et al.,0.8880712021612803
24,0.8770606569713967,UK,McNamara et al.,0.8867352816734886
25,0.8824664537263252,UK,McNamara et al.,0.8853278850713667
26,0.8824664537263252,UK,McNamara et al.,0.8838229439002061
27,0.8824664537263252,UK,McNamara et al.,0.8821990205759708
28,0.8824664537263252,UK,McNamara et al.,0.8804645152715621
29,0.8824664537263252,UK,McNamara et al.,0.8786278281598818
30,0.8924247801531272,UK,McNamara et al.,0.8766973594138311
31,0.8924247801531272,UK,McNamara et al.,0.8746815092063113
32,0.8924247801531272,UK,McNamara et al.,0.8725886777102241
33,0.8924247801531272,UK,McNamara et al.,0.8704272650984708
34,0.8924247801531272,UK,McNamara et al.,0.8682056715439527
35,0.8583386764236658,UK,McNamara et al.,0.8659322972195714
36,0.8583386764236658,UK,McNamara et al.,0.8636155422982285
37,0.8583386764236658,UK,McNamara et al.,0.861263806952825
38,0.8583386764236658,UK,McNamara et al.,0.8588854913562627
39,0.8583386764236658,UK,McNamara et al.,0.8563565972035146
40,0.8590127580040747,UK,McNamara et al.,0.8535788114089786
41,0.8590127580040747,UK,McNamara et al.,0.8505990619746917
42,0.8590127580040747,UK,McNamara et al.,0.8474642769026921
43,0.8590127580040747,UK,McNamara et al.,0.8442213841950174
44,0.8590127580040747,UK,McNamara et al.,0.8409173118537053
45,0.8140806869843563,UK,McNamara et al.,0.8375989878807935
46,0.8140806869843563,UK,McNamara et al.,0.8343133402783195
47,0.8140806869843563,UK,McNamara et al.,0.8311072970483211
48,0.8140806869843563,UK,McNamara et al.,0.8280277861928361
49,0.8140806869843563,UK,McNamara et al.,0.8251217357139019
50,0.8168027391759443,UK,McNamara et al.,0.8224360736135566
51,0.8168027391759443,UK,McNamara et al.,0.8199816797406498
52,0.8168027391759443,UK,McNamara et al.,0.8177135285087294
53,0.8168027391759443,UK,McNamara et al.,0.8155946897668795
54,0.8168027391759443,UK,McNamara et al.,0.8135882333641853
55,0.799706716138512,UK,McNamara et al.,0.811657229149731
56,0.799706716138512,UK,McNamara et al.,0.809764746972601
57,0.799706716138512,UK,McNamara et al.,0.8078738566818803
58,0.799706716138512,UK,McNamara et al.,0.8059476281266532
59,0.799706716138512,UK,McNamara et al.,0.803949131156004
60,0.789180770496633,UK,McNamara et al.,0.8018414356190176
61,0.789180770496633,UK,McNamara et al.,0.7995876113647786
62,0.789180770496633,UK,McNamara et al.,0.7971507282423712
63,0.789180770496633,UK,McNamara et al.,0.7944938561008803
64,0.789180770496633,UK,McNamara et al.,0.791696883769206
65,0.7855595687035867,UK,McNamara et al.,0.7888588939049761
66,0.7855595687035867,UK,McNamara et al.,0.7859717471003654
67,0.7855595687035867,UK,McNamara et al.,0.7830273039475497
68,0.7855595687035867,UK,McNamara et al.,0.7800174250387042
69,0.7855595687035867,UK,McNamara et al.,0.7769339709660043
70,0.7921420009714646,UK,McNamara et al.,0.7737688023216254
71,0.7921420009714646,UK,McNamara et al.,0.7705137796977426
72,0.7921420009714646,UK,McNamara et al.,0.7671607636865316
73,0.7921420009714646,UK,McNamara et al.,0.7637016148801675
74,0.7921420009714646,UK,McNamara et al.,0.7601281938708256
75,0.7570600572178829,UK,McNamara et al.,0.7564323612506815
76,0.7570600572178829,UK,McNamara et al.,0.7526446108754342
77,0.7570600572178829,UK,McNamara et al.,0.7487982179726173
78,0.7570600572178829,UK,McNamara et al.,0.7448892151921566
79,0.7570600572178829,UK,McNamara et al.,0.7409136351839792
80,0.7351890876753938,UK,McNamara et al.,0.7368675105980113
81,0.7351890876753938,UK,McNamara et al.,0.7327468740841793
82,0.7351890876753938,UK,McNamara et al.,0.7285477582924096
83,0.7351890876753938,UK,McNamara et al.,0.7242661958726287
84,0.7351890876753938,UK,McNamara et al.,0.7198982194747632
85,0.6907670924827474,UK,McNamara et al.,0.715439861748739
86,0.6907670924827474,UK,McNamara et al.,0.7108871553444834
87,0.6907670924827474,UK,McNamara et al.,0.7062361329119219
88,0.6907670924827474,UK,McNamara et al.,0.7014828271009816
89,0.6907670924827474,UK,McNamara et al.,0.696629585539332
90,0.662229247606729,UK,McNamara et al.,0.6916823355321415
91,0.662229247606729,UK,McNamara et al.,0.6866424792455865
92,0.662229247606729,UK,McNamara et al.,0.6815114188458419
93,0.662229247606729,UK,McNamara et al.,0.6762905564990833
94,0.662229247606729,UK,McNamara et al.,0.6709812943714859
95,0.662229247606729,UK,McNamara et al.,0.6655850346292254
96,0.662229247606729,UK,McNamara et al.,0.6601031794384772
97,0.662229247606729,UK,McNamara et al.,0.6545371309654168
98,0.662229247606729,UK,McNamara et al.,0.6488882913762196
99,0.662229247606729,UK,McNamara et al.,0.643158062837061
100,0.662229247606729,UK,McNamara et al.,0.63734784751411655
18,0.843,Canada,Poder et al.,0.8593713060632404
19,0.843,Canada,Poder et al.,0.8575379654612578
20,0.843,Canada,Poder et al.,0.8557370923231938
21,0.843,Canada,Poder et al.,0.8539639014408232
22,0.843,Canada,Poder et al.,0.8522136076059207
23,0.843,Canada,Poder et al.,0.8504814256102615
24,0.843,Canada,Poder et al.,0.8487625702456204
25,0.865,Canada,Poder et al.,0.8470522563037725
26,0.865,Canada,Poder et al.,0.8453456985764927
27,0.865,Canada,Poder et al.,0.8436381118555558
28,0.865,Canada,Poder et al.,0.8419247109327369
29,0.865,Canada,Poder et al.,0.8401943695920474
30,0.837,Canada,Poder et al.,0.8384477634310595
31,0.837,Canada,Poder et al.,0.8366978099618888
32,0.837,Canada,Poder et al.,0.8349574266966517
33,0.837,Canada,Poder et al.,0.8332395311474634
34,0.837,Canada,Poder et al.,0.8315570408264404
35,0.837,Canada,Poder et al.,0.8299228732456982
36,0.837,Canada,Poder et al.,0.8283499459173532
37,0.837,Canada,Poder et al.,0.8268511763535206
38,0.837,Canada,Poder et al.,0.8254394820663169
39,0.837,Canada,Poder et al.,0.8239737644957082
40,0.824,Canada,Poder et al.,0.8223389875355286
41,0.824,Canada,Poder et al.,0.8205871623786953
42,0.824,Canada,Poder et al.,0.8187703002181252
