Age,norm,Country,Source,norm_leoss
43,0.824,Canada,Poder et al.,0.8169404122467353
44,0.824,Canada,Poder et al.,0.8151495096574433
45,0.804,Canada,Poder et al.,0.8134496036431659
46,0.804,Canada,Poder et al.,0.8118927053968202
47,0.804,Canada,Poder et al.,0.8105308261113235
48,0.804,Canada,Poder et al.,0.8094159769795927
49,0.804,Canada,Poder et al.,0.808600169194545
50,0.798,Canada,Poder et al.,0.808199203623278
51,0.798,Canada,Poder et al.,0.8082339852939933
52,0.798,Canada,Poder et al.,0.8086141816412635
53,0.798,Canada,Poder et al.,0.8092494600996627
54,0.798,Canada,Poder et al.,0.8100494881037631
55,0.805,Canada,Poder et al.,0.8109239330881388
56,0.805,Canada,Poder et al.,0.8117824624873622
57,0.805,Canada,Poder et al.,0.8125347437360071
58,0.805,Canada,Poder et al.,0.8130904442686463
59,0.805,Canada,Poder et al.,0.8133592315198531
60,0.822,Canada,Poder et al.,0.813601305582469
61,0.822,Canada,Poder et al.,0.8140959998385117
62,0.822,Canada,Poder et al.,0.8147816816563193
63,0.822,Canada,Poder et al.,0.8155967184042295
64,0.822,Canada,Poder et al.,0.8164794774505799
65,0.832,Canada,Poder et al.,0.817368326163709
66,0.832,Canada,Poder et al.,0.8182016319119538
67,0.832,Canada,Poder et al.,0.8189177620636525
68,0.832,Canada,Poder et al.,0.8194550839871432
69,0.832,Canada,Poder et al.,0.8197519650507631
70,0.827,Canada,Poder et al.,0.8197467726228505
71,0.827,Canada,Poder et al.,0.8194691194809107
72,0.827,Canada,Poder et al.,0.8190129038623288
73,0.827,Canada,Poder et al.,0.8184129213252611
74,0.827,Canada,Poder et al.,0.8177039674278646
75,0.803,Canada,Poder et al.,0.8169208377282956
76,0.803,Canada,Poder et al.,0.8160983277847111
77,0.803,Canada,Poder et al.,0.8152712331552677
78,0.803,Canada,Poder et al.,0.814474349398122
79,0.803,Canada,Poder et al.,0.8137424720714306
80,0.803,Canada,Poder et al.,0.8131103967333504
81,0.803,Canada,Poder et al.,0.8125053286786996
82,0.803,Canada,Poder et al.,0.8118372393100027
83,0.803,Canada,Poder et al.,0.8111150733469757
84,0.803,Canada,Poder et al.,0.8103477755093348
85,0.803,Canada,Poder et al.,0.8095442905167953
86,0.803,Canada,Poder et al.,0.8087135630890739
87,0.803,Canada,Poder et al.,0.8078645379458859
88,0.803,Canada,Poder et al.,0.8070061598069476
89,0.803,Canada,Poder et al.,0.8061473733919748
90,0.803,Canada,Poder et al.,0.8052971234206836
91,0.803,Canada,Poder et al.,0.804456156411121
92,0.803,Canada,Poder et al.,0.8036170337221625
93,0.803,Canada,Poder et al.,0.8027764223347665
94,0.803,Canada,Poder et al.,0.8019309892298918
95,0.803,Canada,Poder et al.,0.8010774013884966
96,0.803,Canada,Poder et al.,0.8002123257915393
97,0.803,Canada,Poder et al.,0.7993324294199784
98,0.803,Canada,Poder et al.,0.7984343792547725
99,0.803,Canada,Poder et al.,0.7975148422768799
100,0.803,Canada,Poder et al.,0.7965704854672594
18,0.873,Brazil,Santos et al.,0.8854718207624798
19,0.873,Brazil,Santos et al.,0.8825730442321693
20,0.876,Brazil,Santos et al.,0.8796745135054226
21,0.876,Brazil,Santos et al.,0.8767720774569682
22,0.876,Brazil,Santos et al.,0.8738615849615343
23,0.876,Brazil,Santos et al.,0.8709388848938499
24,0.876,Brazil,Santos et al.,0.8679998261286429
25,0.859,Brazil,Santos et al.,0.8650402575406421
26,0.859,Brazil,Santos et al.,0.862056028004576
27,0.859,Brazil,Santos et al.,0.8590429863951731
28,0.859,Brazil,Santos et al.,0.8559969815871616
29,0.859,Brazil,Santos et al.,0.8529056368293785
30,0.85,Brazil,Santos et al.,0.8497673068744681
31,0.85,Brazil,Santos et al.,0.8465939378528695
32,0.85,Brazil,Santos et al.,0.8433974758950235
33,0.85,Brazil,Santos et al.,0.8401898671313691
34,0.85,Brazil,Santos et al.,0.8369830576923467
35,0.834,Brazil,Santos et al.,0.8337889937083955
36,0.834,Brazil,Santos et al.,0.8306196213099561
37,0.834,Brazil,Santos et al.,0.8274868866274678
38,0.834,Brazil,Santos et al.,0.8244027357913706
39,0.834,Brazil,Santos et al.,0.8212422104025666
40,0.817,Brazil,Santos et al.,0.8179029258665242
41,0.817,Brazil,Santos et al.,0.8144306890205334
42,0.817,Brazil,Santos et al.,0.8108713067018822
43,0.817,Brazil,Santos et al.,0.8072705857478606
44,0.817,Brazil,Santos et al.,0.8036743329957576
45,0.801,Brazil,Santos et al.,0.8001283552828622
46,0.801,Brazil,Santos et al.,0.7966784594464636
47,0.801,Brazil,Santos et al.,0.7933704523238514
48,0.801,Brazil,Santos et al.,0.7902501407523144
49,0.801,Brazil,Santos et al.,0.7873633315691417
50,0.765,Brazil,Santos et al.,0.7845868919959823
51,0.765,Brazil,Santos et al.,0.7817910572323714
52,0.765,Brazil,Santos et al.,0.7790116860824275
53,0.765,Brazil,Santos et al.,0.7762846373502704
54,0.765,Brazil,Santos et al.,0.7736457698400186
55,0.762,Brazil,Santos et al.,0.7711309423557913
56,0.762,Brazil,Santos et al.,0.7687760137017075
57,0.762,Brazil,Santos et al.,0.7666168426818861
58,0.762,Brazil,Santos et al.,0.7646892881004462
59,0.762,Brazil,Santos et al.,0.7630292087615069
60,0.761,Brazil,Santos et al.,0.7617088614626624
61,0.761,Brazil,Santos et al.,0.7607410063149412
62,0.761,Brazil,Santos et al.,0.7600722570926135
63,0.761,Brazil,Santos et al.,0.7596492275699496
64,0.761,Brazil,Santos et al.,0.7594185315212196
65,0.761,Brazil,Santos et al.,0.7593267827206938
66,0.761,Brazil,Santos et al.,0.7593205949426424
67,0.761,Brazil,Santos et al.,0.7593465819613355
68,0.761,Brazil,Santos et al.,0.7593513575510437
69,0.761,Brazil,Santos et al.,0.7592815354860366
70,0.761,Brazil,Santos et al.,0.759083729540585
71,0.761,Brazil,Santos et al.,0.7588635993109165
72,0.761,Brazil,Santos et al.,0.758749151695992
73,0.761,Brazil,Santos et al.,0.7587205214241807
74,0.761,Brazil,Santos et al.,0.7587578432238525
75,0.761,Brazil,Santos et al.,0.7588412518233768
76,0.761,Brazil,Santos et al.,0.7589508819511233
77,0.761,Brazil,Santos et al.,0.759066868335461
78,0.761,Brazil,Santos et al.,0.7591693457047601
79,0.761,Brazil,Santos et al.,0.7592384487873896
80,0.761,Brazil,Santos et al.,0.7592543123117194
81,0.761,Brazil,Santos et al.,0.759256370300281
82,0.761,Brazil,Santos et al.,0.7592944201149121
83,0.761,Brazil,Santos et al.,0.7593641414929402
84,0.761,Brazil,Santos et al.,0.7594612141716944
85,0.761,Brazil,Santos et al.,0.759581317888502
86,0.761,Brazil,Santos et al.,0.7597201323806919
87,0.761,Brazil,Santos et al.,0.7598733373855917
88,0.761,Brazil,Santos et al.,0.7600366126405299
89,0.761,Brazil,Santos et al.,0.7602056378828345
90,0.761,Brazil,Santos et al.,0.7603760928498338
91,0.761,Brazil,Santos et al.,0.7605493834966736
92,0.761,Brazil,Santos et al.,0.760730713802799
93,0.761,Brazil,Santos et al.,0.7609214605419868
94,0.761,Brazil,Santos et al.,0.7611230004880143
95,0.761,Brazil,Santos et al.,0.7613367104146581
96,0.761,Brazil,Santos et al.,0.7615639670956952
97,0.761,Brazil,Santos et al.,0.7618061473049021
98,0.761,Brazil,Santos et al.,0.7620646278160561
99,0.761,Brazil,Santos et al.,0.7623407854029343
100,0.761,Brazil,Santos et al.,0.7626359968393129
18,0.907,Argentina,Janssen et al.,0.9096516110413574
19,0.907,Argentina,Janssen et al.,0.9079451897089472
20,0.907,Argentina,Janssen et al.,0.9062230114037858
21,0.907,Argentina,Janssen et al.,0.9044857313377159
22,0.907,Argentina,Janssen et al.,0.9027340047225808
23,0.907,Argentina,Janssen et al.,0.9009684867702233
24,0.907,Argentina,Janssen et al.,0.8991898326924868
25,0.889,Argentina,Janssen et al.,0.8973986977012142
26,0.889,Argentina,Janssen et al.,0.8955957370082483
27,0.889,Argentina,Janssen et al.,0.8937816058254328
28,0.889,Argentina,Janssen et al.,0.8919569593646102
29,0.889,Argentina,Janssen et al.,0.8901243637659441
30,0.889,Argentina,Janssen et al.,0.8882845232310627
31,0.889,Argentina,Janssen et al.,0.8864353000640065
32,0.889,Argentina,Janssen et al.,0.8845745565688168
33,0.889,Argentina,Janssen et al.,0.8827001550495335
34,0.889,Argentina,Janssen et al.,0.8808099578101979
35,0.869,Argentina,Janssen et al.,0.8789018271548502
36,0.869,Argentina,Janssen et al.,0.8769736253875314
37,0.869,Argentina,Janssen et al.,0.8750232148122822
38,0.869,Argentina,Janssen et al.,0.873048457733143
39,0.869,Argentina,Janssen et al.,0.8710803955370293
40,0.869,Argentina,Janssen et al.,0.8691436629753783
41,0.869,Argentina,Janssen et al.,0.8672265123990135
42,0.869,Argentina,Janssen et al.,0.8653171961587584
43,0.869,Argentina,Janssen et al.,0.8634039666054364
44,0.869,Argentina,Janssen et al.,0.8614750760898712
45,0.849,Argentina,Janssen et al.,0.8595187769628861
46,0.849,Argentina,Janssen et al.,0.8575233215753049
47,0.849,Argentina,Janssen et al.,0.8554769622779507
48,0.849,Argentina,Janssen et al.,0.8533679514216471
49,0.849,Argentina,Janssen et al.,0.8511845413572178
50,0.849,Argentina,Janssen et al.,0.8490626723769412
51,0.849,Argentina,Janssen et al.,0.8471031900983946
52,0.849,Argentina,Janssen et al.,0.8452417048603493
53,0.849,Argentina,Janssen et al.,0.8434138270015774
54,0.849,Argentina,Janssen et al.,0.8415551668608496
55,0.829,Argentina,Janssen et al.,0.839601334776938
56,0.829,Argentina,Janssen et al.,0.837487941088614
57,0.829,Argentina,Janssen et al.,0.835150596134649
58,0.829,Argentina,Janssen et al.,0.8325249102538147
59,0.829,Argentina,Janssen et al.,0.8295464937848827
60,0.829,Argentina,Janssen et al.,0.8261408718954906
61,0.829,Argentina,Janssen et al.,0.8223283030045223
62,0.829,Argentina,Janssen et al.,0.8181864973276186
63,0.829,Argentina,Janssen et al.,0.8137931650804191
64,0.829,Argentina,Janssen et al.,0.8092260164785647
65,0.796,Argentina,Janssen et al.,0.8045627617376957
66,0.796,Argentina,Janssen et al.,0.7998811110734524
67,0.796,Argentina,Janssen et al.,0.795258774701475
68,0.796,Argentina,Janssen et al.,0.7907734628374042
69,0.796,Argentina,Janssen et al.,0.7865028856968801
70,0.796,Argentina,Janssen et al.,0.7825247534955432
71,0.796,Argentina,Janssen et al.,0.7786161160534333
72,0.796,Argentina,Janssen et al.,0.7745480406456551
73,0.796,Argentina,Janssen et al.,0.7703892636704461
74,0.796,Argentina,Janssen et al.,0.766208521526045
75,0.724,Argentina,Janssen et al.,0.7620745506106891
76,0.724,Argentina,Janssen et al.,0.7580560873226162
77,0.724,Argentina,Janssen et al.,0.7542218680600642
78,0.724,Argentina,Janssen et al.,0.7506406292212712
79,0.724,Argentina,Janssen et al.,0.7473811072044746
80,0.724,Argentina,Janssen et al.,0.7445120384079127
81,0.724,Argentina,Janssen et al.,0.7418886272192249
82,0.724,Argentina,Janssen et al.,0.7393323253530704
83,0.724,Argentina,Janssen et al.,0.7368612401982156
84,0.724,Argentina,Janssen et al.,0.7344934791434274
85,0.724,Argentina,Janssen et al.,0.7322471495774723
86,0.724,Argentina,Janssen et al.,0.7301403588891173
87,0.724,Argentina,Janssen et al.,0.7281912144671286
88,0.724,Argentina,Janssen et al.,0.7264178237002734
89,0.724,Argentina,Janssen et al.,0.7248382939773179
90,0.724,Argentina,Janssen et al.,0.7234707326870293
91,0.724,Argentina,Janssen et al.,0.7223133608580247
92,0.724,Argentina,Janssen et al.,0.7213481412436659
93,0.724,Argentina,Janssen et al.,0.7205687938198359
94,0.724,Argentina,Janssen et al.,0.7199690385624179
95,0.724,Argentina,Janssen et al.,0.7195425954472954
96,0.724,Argentina,Janssen et al.,0.7192831844503508
97,0.724,Argentina,Janssen et al.,0.7191845255474677
98,0.724,Argentina,Janssen et al.,0.719240338714529
99,0.724,Argentina,Janssen et al.,0.719444343927418
100,0.724,Argentina,Janssen et al.,0.7197902611620176
18,0.957,Korea,Janssen et al.,0.9506225131279625
19,0.957,Korea,Janssen et al.,0.9527585270651882
20,0.957,Korea,Janssen et al.,0.9546669410845244
21,0.957,Korea,Janssen et al.,0.9563462107280364
22,0.957,Korea,Janssen et al.,0.9577947915377889
23,0.957,Korea,Janssen et al.,0.9590111390558467
24,0.957,Korea,Janssen et al.,0.9599937088242748
25,0.958,Korea,Janssen et al.,0.9607409563851381
26,0.958,Korea,Janssen et al.,0.9612513372805017
27,0.958,Korea,Janssen et al.,0.9615233070524306
28,0.958,Korea,Janssen et al.,0.9615553212429893
29,0.958,Korea,Janssen et al.,0.9613383366080623
30,0.958,Korea,Janssen et al.,0.9608682407837426
31,0.958,Korea,Janssen et al.,0.9601508856324066
32,0.958,Korea,Janssen et al.,0.9591921230164324
33,0.958,Korea,Janssen et al.,0.9579978047981967
34,0.958,Korea,Janssen et al.,0.9565737828400774
35,0.949,Korea,Janssen et al.,0.9549259090044512
36,0.949,Korea,Janssen et al.,0.9530600351536958
37,0.949,Korea,Janssen et al.,0.9509820131501879
38,0.949,Korea,Janssen et al.,0.9486976948563056
39,0.949,Korea,Janssen et al.,0.946128817438954
40,0.949,Korea,Janssen et al.,0.9432129515889301
41,0.949,Korea,Janssen et al.,0.9399796994544487
42,0.949,Korea,Janssen et al.,0.9364586631837233
43,0.949,Korea,Janssen et al.,0.9326794449249686
44,0.949,Korea,Janssen et al.,0.9286716468263988
45,0.915,Korea,Janssen et al.,0.9244648710362282
46,0.915,Korea,Janssen et al.,0.9200887197026709
47,0.915,Korea,Janssen et al.,0.9155727949739416
48,0.915,Korea,Janssen et al.,0.910946698998254
49,0.915,Korea,Janssen et al.,0.9062400339238229
50,0.915,Korea,Janssen et al.,0.9010112429808403
51,0.915,Korea,Janssen et al.,0.89493795731629
52,0.915,Korea,Janssen et al.,0.888228560953572
53,0.915,Korea,Janssen et al.,0.8810914379160885
54,0.915,Korea,Janssen et al.,0.873734972227239
55,0.828,Korea,Janssen et al.,0.8663675479104251
56,0.828,Korea,Janssen et al.,0.8591975489890475
57,0.828,Korea,Janssen et al.,0.8524333594865072
58,0.828,Korea,Janssen et al.,0.8462833634262047
59,0.828,Korea,Janssen et al.,0.8409559448315411
60,0.828,Korea,Janssen et al.,0.8360179804541376
61,0.828,Korea,Janssen et al.,0.8309467738680514
62,0.828,Korea,Janssen et al.,0.8258163493303384
63,0.828,Korea,Janssen et al.,0.8207007310980537
64,0.828,Korea,Janssen et al.,0.8156739434282526
65,0.787,Korea,Janssen et al.,0.8108100105779911
66,0.787,Korea,Janssen et al.,0.8061829568043238
67,0.787,Korea,Janssen et al.,0.80186680636430685
68,0.787,Korea,Janssen et al.,0.7979355835149953
69,0.787,Korea,Janssen et al.,0.7944633125134444
70,0.787,Korea,Janssen et al.,0.79152401761671
71,0.787,Korea,Janssen et al.,0.7890963946704977
72,0.787,Korea,Janssen et al.,0.7870742045262299
73,0.787,Korea,Janssen et al.,0.7854040689495355
74,0.787,Korea,Janssen et al.,0.7840326097060446
75,0.787,Korea,Janssen et al.,0.7829064485613864
76,0.787,Korea,Janssen et al.,0.7819722072811907
77,0.787,Korea,Janssen et al.,0.7811765076310865
78,0.787,Korea,Janssen et al.,0.7804659713767038
79,0.787,Korea,Janssen et al.,0.7797872202836718
80,0.787,Korea,Janssen et al.,0.7790868761176201
81,0.787,Korea,Janssen et al.,0.778471747934693
82,0.787,Korea,Janssen et al.,0.7780763320590763
83,0.787,Korea,Janssen et al.,0.7778887811584623
84,0.787,Korea,Janssen et al.,0.7778972479005435
85,0.787,Korea,Janssen et al.,0.7780898849530117
86,0.787,Korea,Janssen et al.,0.7784548449835597
87,0.787,Korea,Janssen et al.,0.778980280659879
88,0.787,Korea,Janssen et al.,0.7796543446496627
89,0.787,Korea,Janssen et al.,0.7804651896206022
90,0.787,Korea,Janssen et al.,0.7814009682403904
91,0.787,Korea,Janssen et al.,0.7824618021849081
92,0.787,Korea,Janssen et al.,0.7836585721949425
93,0.787,Korea,Janssen et al.,0.7849955695355432
94,0.787,Korea,Janssen et al.,0.7864770854717607
95,0.787,Korea,Janssen et al.,0.7881074112686453
96,0.787,Korea,Janssen et al.,0.7898908381912472
97,0.787,Korea,Janssen et al.,0.7918316575046167
98,0.787,Korea,Janssen et al.,0.793934160473804
99,0.787,Korea,Janssen et al.,0.7962026383638596
100,0.787,Korea,Janssen et al.,0.7986413824398336
18,0.938,Netherlands,Janssen et al.,0.9363659774851801
19,0.938,Netherlands,Janssen et al.,0.9350768839642142
20,0.938,Netherlands,Janssen et al.,0.933774400544763
21,0.938,Netherlands,Janssen et al.,0.9324563656060335
22,0.938,Netherlands,Janssen et al.,0.9311206175272331
23,0.938,Netherlands,Janssen et al.,0.9297649946875688
24,0.938,Netherlands,Janssen et al.,0.9283873354662479
25,0.91,Netherlands,Janssen et al.,0.9269854782424777
26,0.91,Netherlands,Janssen et al.,0.9255572613954652
27,0.91,Netherlands,Janssen et al.,0.9241005233044179
28,0.91,Netherlands,Janssen et al.,0.9226131023485429
29,0.91,Netherlands,Janssen et al.,0.9210870829725204
30,0.91,Netherlands,Janssen et al.,0.9195204611457275
31,0.91,Netherlands,Janssen et al.,0.9179199425344159
32,0.91,Netherlands,Janssen et al.,0.916292232804839
33,0.91,Netherlands,Janssen et al.,0.9146440376232482
34,0.91,Netherlands,Janssen et al.,0.9129820626558964
35,0.922,Netherlands,Janssen et al.,0.9113130135690356
36,0.922,Netherlands,Janssen et al.,0.9096435960289183
37,0.922,Netherlands,Janssen et al.,0.9079805157017966
38,0.922,Netherlands,Janssen et al.,0.9063304782539232
39,0.922,Netherlands,Janssen et al.,0.9046691712165675
40,0.922,Netherlands,Janssen et al.,0.9029717758258838
41,0.922,Netherlands,Janssen et al.,0.9012442383054523
42,0.922,Netherlands,Janssen et al.,0.8994925048788525
43,0.922,Netherlands,Janssen et al.,0.8977225217696637
44,0.922,Netherlands,Janssen et al.,0.8959402352014662
45,0.874,Netherlands,Janssen et al.,0.8941515913978394
46,0.874,Netherlands,Janssen et al.,0.892362536582363
47,0.874,Netherlands,Janssen et al.,0.8905790169786169
48,0.874,Netherlands,Janssen et al.,0.8888069788101804
49,0.874,Netherlands,Janssen et al.,0.8870523683006337
50,0.874,Netherlands,Janssen et al.,0.8853675508310177
51,0.874,Netherlands,Janssen et al.,0.883778656836132
52,0.874,Netherlands,Janssen et al.,0.8822522801201934
53,0.874,Netherlands,Janssen et al.,0.8807550144874197
54,0.874,Netherlands,Janssen et al.,0.8792534537420273
55,0.869,Netherlands,Janssen et al.,0.8777141916882341
56,0.869,Netherlands,Janssen et al.,0.8761038221302566
57,0.869,Netherlands,Janssen et al.,0.8743889388723123
58,0.869,Netherlands,Janssen et al.,0.8725361357186182
59,0.869,Netherlands,Janssen et al.,0.8705120064733918
60,0.869,Netherlands,Janssen et al.,0.8683893568139662
61,0.869,Netherlands,Janssen et al.,0.8662593967497907
62,0.869,Netherlands,Janssen et al.,0.864116326583256
63,0.869,Netherlands,Janssen et al.,0.8619543466167522
64,0.869,Netherlands,Janssen et al.,0.8597676571526693
65,0.863,Netherlands,Janssen et al.,0.8575504584933985
66,0.863,Netherlands,Janssen et al.,0.8552969509413295
67,0.863,Netherlands,Janssen et al.,0.8530013347988532
68,0.863,Netherlands,Janssen et al.,0.8506578103683595
69,0.863,Netherlands,Janssen et al.,0.8482605779522391
70,0.863,Netherlands,Janssen et al.,0.8458038378528825
71,0.863,Netherlands,Janssen et al.,0.8431895400902817
72,0.863,Netherlands,Janssen et al.,0.8403658651374121
73,0.863,Netherlands,Janssen et al.,0.8373963589761377
74,0.863,Netherlands,Janssen et al.,0.8343445675883238
75,0.798,Netherlands,Janssen et al.,0.8312740369558337
76,0.798,Netherlands,Janssen et al.,0.8282483130605329
77,0.798,Netherlands,Janssen et al.,0.8253309418842851
78,0.798,Netherlands,Janssen et al.,0.8225854694089555
79,0.798,Netherlands,Janssen et al.,0.8200754416164079
80,0.798,Netherlands,Janssen et al.,0.8178644044885072
81,0.798,Netherlands,Janssen et al.,0.815819025095631
82,0.798,Netherlands,Janssen et al.,0.8137745266429042
83,0.798,Netherlands,Janssen et al.,0.8117472893143106
