study,proxy,Source,Age,norm,Country,norm_leoss
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,57,0.869,Netherlands,0.8743889388723123
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,58,0.869,Netherlands,0.8725361357186182
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,59,0.869,Netherlands,0.8705120064733918
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,60,0.869,Netherlands,0.8683893568139662
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,61,0.869,Netherlands,0.8662593967497907
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,62,0.869,Netherlands,0.864116326583256
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,63,0.869,Netherlands,0.8619543466167522
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,64,0.869,Netherlands,0.8597676571526693
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,65,0.863,Netherlands,0.8575504584933985
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,66,0.863,Netherlands,0.8552969509413295
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,67,0.863,Netherlands,0.8530013347988532
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,68,0.863,Netherlands,0.8506578103683595
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,69,0.863,Netherlands,0.8482605779522391
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,70,0.863,Netherlands,0.8458038378528825
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,71,0.863,Netherlands,0.8431895400902817
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,72,0.863,Netherlands,0.8403658651374121
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,73,0.863,Netherlands,0.8373963589761377
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,74,0.863,Netherlands,0.8343445675883238
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,75,0.798,Netherlands,0.8312740369558337
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,76,0.798,Netherlands,0.8282483130605329
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,77,0.798,Netherlands,0.8253309418842851
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,78,0.798,Netherlands,0.8225854694089555
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,79,0.798,Netherlands,0.8200754416164079
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,80,0.798,Netherlands,0.8178644044885072
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,81,0.798,Netherlands,0.815819025095631
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,82,0.798,Netherlands,0.8137745266429042
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,83,0.798,Netherlands,0.8117472893143106
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,84,0.798,Netherlands,0.8097536932938357
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,85,0.798,Netherlands,0.8078101187654629
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,86,0.798,Netherlands,0.8059329459131777
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,87,0.798,Netherlands,0.8041385549209635
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,88,0.798,Netherlands,0.8024433259728059
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,89,0.798,Netherlands,0.8008636392526886
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,90,0.798,Netherlands,0.7994158749445964
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,91,0.798,Netherlands,0.798099927030803
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,92,0.798,Netherlands,0.79690084436263
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,93,0.798,Netherlands,0.7958127394276333
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,94,0.798,Netherlands,0.7948297247133693
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,95,0.798,Netherlands,0.7939459127073942
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,96,0.798,Netherlands,0.7931554158972641
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,97,0.798,Netherlands,0.7924523467705352
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,98,0.798,Netherlands,0.7918308178147633
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,99,0.798,Netherlands,0.7912849415175051
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,100,0.798,Netherlands,0.7908088303663166
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,18,0.814,Thailand,0.81800900243913
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,19,0.814,Thailand,0.8156340033170326
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,20,0.814,Thailand,0.8132309743144638
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,21,0.814,Thailand,0.8107974778222624
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,22,0.814,Thailand,0.808331076231267
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,23,0.814,Thailand,0.8058293319323164
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,24,0.814,Thailand,0.8032898073162495
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,25,0.785,Thailand,0.8007100647739054
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,26,0.785,Thailand,0.7980876666961226
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,27,0.785,Thailand,0.7954201754737402
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,28,0.785,Thailand,0.7927051534975967
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,29,0.785,Thailand,0.7899349389297883
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,30,0.785,Thailand,0.7871082626438962
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,31,0.785,Thailand,0.7842322760979876
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,32,0.785,Thailand,0.7813141307501303
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,33,0.785,Thailand,0.7783609780583912
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,34,0.785,Thailand,0.7753799694808379
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,35,0.771,Thailand,0.7723782564755374
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,36,0.771,Thailand,0.7693629905005576
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,37,0.771,Thailand,0.7663413230139651
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,38,0.771,Thailand,0.7633204054738278
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,39,0.771,Thailand,0.760242868938569
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,40,0.771,Thailand,0.7570597423830662
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,41,0.771,Thailand,0.7537907741400685
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,42,0.771,Thailand,0.7504557125423242
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,43,0.771,Thailand,0.7470743059225824
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,44,0.771,Thailand,0.7436663026135918
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,45,0.717,Thailand,0.740251450948101
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,46,0.717,Thailand,0.7368494992588587
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,47,0.717,Thailand,0.7334801958786138
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,48,0.717,Thailand,0.730163289140115
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,49,0.717,Thailand,0.726918527376111
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,50,0.717,Thailand,0.7236159951972994
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,51,0.717,Thailand,0.7201487935902384
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,52,0.717,Thailand,0.7165711954514673
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,53,0.717,Thailand,0.7129374736775262
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,54,0.717,Thailand,0.7093019011649542
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,55,0.694,Thailand,0.7057187508102909
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,56,0.694,Thailand,0.7022422955100758
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,57,0.694,Thailand,0.6989268081608487
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,58,0.694,Thailand,0.695826561659149
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,59,0.694,Thailand,0.6929958289015162
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,60,0.694,Thailand,0.6903841424613503
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,61,0.694,Thailand,0.6879004320520509
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,62,0.694,Thailand,0.6855380662801571
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,63,0.694,Thailand,0.683290413752208
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,64,0.694,Thailand,0.6811508430747427
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,65,0.67,Thailand,0.6791127228543004
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,66,0.67,Thailand,0.6771694216974198
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,67,0.67,Thailand,0.6753143082106402
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,68,0.67,Thailand,0.6735407510005008
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,69,0.67,Thailand,0.6718421186735406
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,70,0.67,Thailand,0.6702117798362988
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,71,0.67,Thailand,0.6686585232696364
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,72,0.67,Thailand,0.6671946112445628
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,73,0.67,Thailand,0.6658186226028389
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,74,0.67,Thailand,0.6645291361862263
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,75,0.657,Thailand,0.6633247308364856
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,76,0.657,Thailand,0.6622039853953784
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,77,0.657,Thailand,0.6611654787046651
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,78,0.657,Thailand,0.6602077896061079
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,79,0.657,Thailand,0.659329496941467
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,80,0.657,Thailand,0.6585291795525039
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,81,0.657,Thailand,0.6578078835458064
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,82,0.657,Thailand,0.6571679306168744
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,83,0.657,Thailand,0.6566098129908372
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,84,0.657,Thailand,0.6561340228928245
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,85,0.657,Thailand,0.6557410525479653
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,86,0.657,Thailand,0.6554313941813892
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,87,0.657,Thailand,0.6552055400182256
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,88,0.657,Thailand,0.6550639822836036
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,89,0.657,Thailand,0.6550072132026529
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,90,0.657,Thailand,0.6550357250005028
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,91,0.657,Thailand,0.6551489150143207
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,92,0.657,Thailand,0.6553457947845761
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,93,0.657,Thailand,0.6556262778413521
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,94,0.657,Thailand,0.6559902777147311
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,95,0.657,Thailand,0.6564377079347959
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,96,0.657,Thailand,0.6569684820316289
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,97,0.657,Thailand,0.6575825135353132
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,98,0.657,Thailand,0.6582797159759309
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,99,0.657,Thailand,0.6590600028835653
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,100,0.657,Thailand,0.6599232877882986
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,18,0.873,Brazil,0.8854718207624798
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,19,0.873,Brazil,0.8825730442321693
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,20,0.876,Brazil,0.8796745135054226
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,21,0.876,Brazil,0.8767720774569682
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,22,0.876,Brazil,0.8738615849615343
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,23,0.876,Brazil,0.8709388848938499
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,24,0.876,Brazil,0.8679998261286429
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,25,0.859,Brazil,0.8650402575406421
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,26,0.859,Brazil,0.862056028004576
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,27,0.859,Brazil,0.8590429863951731
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,28,0.859,Brazil,0.8559969815871616
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,29,0.859,Brazil,0.8529056368293785
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,30,0.85,Brazil,0.8497673068744681
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,31,0.85,Brazil,0.8465939378528695
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,32,0.85,Brazil,0.8433974758950235
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,33,0.85,Brazil,0.8401898671313691
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,34,0.85,Brazil,0.8369830576923467
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,35,0.834,Brazil,0.8337889937083955
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,36,0.834,Brazil,0.8306196213099561
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,37,0.834,Brazil,0.8274868866274678
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,38,0.834,Brazil,0.8244027357913706
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,39,0.834,Brazil,0.8212422104025666
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,40,0.817,Brazil,0.8179029258665242
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,41,0.817,Brazil,0.8144306890205334
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,42,0.817,Brazil,0.8108713067018822
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,43,0.817,Brazil,0.8072705857478606
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,44,0.817,Brazil,0.8036743329957576
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,45,0.801,Brazil,0.8001283552828622
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,46,0.801,Brazil,0.7966784594464636
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,47,0.801,Brazil,0.7933704523238514
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,48,0.801,Brazil,0.7902501407523144
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,49,0.801,Brazil,0.7873633315691417
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,50,0.765,Brazil,0.7845868919959823
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,51,0.765,Brazil,0.7817910572323714
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,52,0.765,Brazil,0.7790116860824275
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,53,0.765,Brazil,0.7762846373502704
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,54,0.765,Brazil,0.7736457698400186
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,55,0.762,Brazil,0.7711309423557913
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,56,0.762,Brazil,0.7687760137017075
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,57,0.762,Brazil,0.7666168426818861
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,58,0.762,Brazil,0.7646892881004462
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,59,0.762,Brazil,0.7630292087615069
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,60,0.761,Brazil,0.7617088614626624
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,61,0.761,Brazil,0.7607410063149412
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,62,0.761,Brazil,0.7600722570926135
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,63,0.761,Brazil,0.7596492275699496
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,64,0.761,Brazil,0.7594185315212196
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,65,0.761,Brazil,0.7593267827206938
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,66,0.761,Brazil,0.7593205949426424
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,67,0.761,Brazil,0.7593465819613355
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,68,0.761,Brazil,0.7593513575510437
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,69,0.761,Brazil,0.7592815354860366
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,70,0.761,Brazil,0.759083729540585
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,71,0.761,Brazil,0.7588635993109165
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,72,0.761,Brazil,0.758749151695992
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,73,0.761,Brazil,0.7587205214241807
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,74,0.761,Brazil,0.7587578432238525
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,75,0.761,Brazil,0.7588412518233768
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,76,0.761,Brazil,0.7589508819511233
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,77,0.761,Brazil,0.759066868335461
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,78,0.761,Brazil,0.7591693457047601
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,79,0.761,Brazil,0.7592384487873896
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,80,0.761,Brazil,0.7592543123117194
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,81,0.761,Brazil,0.759256370300281
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,82,0.761,Brazil,0.7592944201149121
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,83,0.761,Brazil,0.7593641414929402
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,84,0.761,Brazil,0.7594612141716944
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,85,0.761,Brazil,0.759581317888502
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,86,0.761,Brazil,0.7597201323806919
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,87,0.761,Brazil,0.7598733373855917
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,88,0.761,Brazil,0.7600366126405299
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,89,0.761,Brazil,0.7602056378828345
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,90,0.761,Brazil,0.7603760928498338
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,91,0.761,Brazil,0.7605493834966736
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,92,0.761,Brazil,0.760730713802799
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,93,0.761,Brazil,0.7609214605419868
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,94,0.761,Brazil,0.7611230004880143
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,95,0.761,Brazil,0.7613367104146581
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,96,0.761,Brazil,0.7615639670956952
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,97,0.761,Brazil,0.7618061473049021
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,98,0.761,Brazil,0.7620646278160561
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,99,0.761,Brazil,0.7623407854029343
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,100,0.761,Brazil,0.7626359968393129
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,18,0.907,Argentina,0.9096516110413574
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,19,0.907,Argentina,0.9079451897089472
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,20,0.907,Argentina,0.9062230114037858
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,21,0.907,Argentina,0.9044857313377159
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,22,0.907,Argentina,0.9027340047225808
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,23,0.907,Argentina,0.9009684867702233
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,24,0.907,Argentina,0.8991898326924868
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,25,0.889,Argentina,0.8973986977012142
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,26,0.889,Argentina,0.8955957370082483
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,27,0.889,Argentina,0.8937816058254328
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,28,0.889,Argentina,0.8919569593646102
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,29,0.889,Argentina,0.8901243637659441
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,30,0.889,Argentina,0.8882845232310627
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,31,0.889,Argentina,0.8864353000640065
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,32,0.889,Argentina,0.8845745565688168
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,33,0.889,Argentina,0.8827001550495335
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,34,0.889,Argentina,0.8808099578101979
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,35,0.869,Argentina,0.8789018271548502
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,36,0.869,Argentina,0.8769736253875314
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,37,0.869,Argentina,0.8750232148122822
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,38,0.869,Argentina,0.873048457733143
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,39,0.869,Argentina,0.8710803955370293
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,40,0.869,Argentina,0.8691436629753783
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,41,0.869,Argentina,0.8672265123990135
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,42,0.869,Argentina,0.8653171961587584
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,43,0.869,Argentina,0.8634039666054364
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,44,0.869,Argentina,0.8614750760898712
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,45,0.849,Argentina,0.8595187769628861
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,46,0.849,Argentina,0.8575233215753049
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,47,0.849,Argentina,0.8554769622779507
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,48,0.849,Argentina,0.8533679514216471
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,49,0.849,Argentina,0.8511845413572178
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,50,0.849,Argentina,0.8490626723769412
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,51,0.849,Argentina,0.8471031900983946
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,52,0.849,Argentina,0.8452417048603493
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,53,0.849,Argentina,0.8434138270015774
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,54,0.849,Argentina,0.8415551668608496
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,55,0.829,Argentina,0.839601334776938
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,56,0.829,Argentina,0.837487941088614
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,57,0.829,Argentina,0.835150596134649
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,58,0.829,Argentina,0.8325249102538147
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,59,0.829,Argentina,0.8295464937848827
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,60,0.829,Argentina,0.8261408718954906
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,61,0.829,Argentina,0.8223283030045223
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,62,0.829,Argentina,0.8181864973276186
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,63,0.829,Argentina,0.8137931650804191
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,64,0.829,Argentina,0.8092260164785647
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,65,0.796,Argentina,0.8045627617376957
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,66,0.796,Argentina,0.7998811110734524
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,67,0.796,Argentina,0.795258774701475
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,68,0.796,Argentina,0.7907734628374042
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,69,0.796,Argentina,0.7865028856968801
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,70,0.796,Argentina,0.7825247534955432
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,71,0.796,Argentina,0.7786161160534333
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,72,0.796,Argentina,0.7745480406456551
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,73,0.796,Argentina,0.7703892636704461
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,74,0.796,Argentina,0.766208521526045
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,75,0.724,Argentina,0.7620745506106891
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,76,0.724,Argentina,0.7580560873226162
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,77,0.724,Argentina,0.7542218680600642
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,78,0.724,Argentina,0.7506406292212712
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,79,0.724,Argentina,0.7473811072044746
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,80,0.724,Argentina,0.7445120384079127
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,81,0.724,Argentina,0.7418886272192249
