study,proxy,Source,Age,norm,Country,norm_leoss
Drolet et al. 2010,Canada,Poder et al.,49,0.804,Canada,0.808600169194545
Drolet et al. 2010,Canada,Poder et al.,50,0.798,Canada,0.808199203623278
Drolet et al. 2010,Canada,Poder et al.,51,0.798,Canada,0.8082339852939933
Drolet et al. 2010,Canada,Poder et al.,52,0.798,Canada,0.8086141816412635
Drolet et al. 2010,Canada,Poder et al.,53,0.798,Canada,0.8092494600996627
Drolet et al. 2010,Canada,Poder et al.,54,0.798,Canada,0.8100494881037631
Drolet et al. 2010,Canada,Poder et al.,55,0.805,Canada,0.8109239330881388
Drolet et al. 2010,Canada,Poder et al.,56,0.805,Canada,0.8117824624873622
Drolet et al. 2010,Canada,Poder et al.,57,0.805,Canada,0.8125347437360071
Drolet et al. 2010,Canada,Poder et al.,58,0.805,Canada,0.8130904442686463
Drolet et al. 2010,Canada,Poder et al.,59,0.805,Canada,0.8133592315198531
Drolet et al. 2010,Canada,Poder et al.,60,0.822,Canada,0.813601305582469
Drolet et al. 2010,Canada,Poder et al.,61,0.822,Canada,0.8140959998385117
Drolet et al. 2010,Canada,Poder et al.,62,0.822,Canada,0.8147816816563193
Drolet et al. 2010,Canada,Poder et al.,63,0.822,Canada,0.8155967184042295
Drolet et al. 2010,Canada,Poder et al.,64,0.822,Canada,0.8164794774505799
Drolet et al. 2010,Canada,Poder et al.,65,0.832,Canada,0.817368326163709
Drolet et al. 2010,Canada,Poder et al.,66,0.832,Canada,0.8182016319119538
Drolet et al. 2010,Canada,Poder et al.,67,0.832,Canada,0.8189177620636525
Drolet et al. 2010,Canada,Poder et al.,68,0.832,Canada,0.8194550839871432
Drolet et al. 2010,Canada,Poder et al.,69,0.832,Canada,0.8197519650507631
Drolet et al. 2010,Canada,Poder et al.,70,0.827,Canada,0.8197467726228505
Drolet et al. 2010,Canada,Poder et al.,71,0.827,Canada,0.8194691194809107
Drolet et al. 2010,Canada,Poder et al.,72,0.827,Canada,0.8190129038623288
Drolet et al. 2010,Canada,Poder et al.,73,0.827,Canada,0.8184129213252611
Drolet et al. 2010,Canada,Poder et al.,74,0.827,Canada,0.8177039674278646
Drolet et al. 2010,Canada,Poder et al.,75,0.803,Canada,0.8169208377282956
Drolet et al. 2010,Canada,Poder et al.,76,0.803,Canada,0.8160983277847111
Drolet et al. 2010,Canada,Poder et al.,77,0.803,Canada,0.8152712331552677
Drolet et al. 2010,Canada,Poder et al.,78,0.803,Canada,0.814474349398122
Drolet et al. 2010,Canada,Poder et al.,79,0.803,Canada,0.8137424720714306
Drolet et al. 2010,Canada,Poder et al.,80,0.803,Canada,0.8131103967333504
Drolet et al. 2010,Canada,Poder et al.,81,0.803,Canada,0.8125053286786996
Drolet et al. 2010,Canada,Poder et al.,82,0.803,Canada,0.8118372393100027
